regulator	cluster	ntarget
YBX1	E12	2
YBX1	E8	3
YBX1	E28	1
YBX1	E21	0
YBX1	E16	0
YBX1	E24	1
YBX1	E6	0
YBX1	E15	5
YBX1	E17	0
YBX1	E22	0
YBX1	E29	0
YBX1	E4	2
YBX1	E19	0
YBX1	E13	3
YBX1	E14	0
YBX1	E11	15
YBX1	E23	0
YBX1	E10	0
YBX1	E9	0
YBX1	E1	0
YBX1	E27	12
YBX1	E2	20
YBX1	E25	4
YBX1	E18	7
YBX1	E3	0
YBX1	E7	0
YBX1	E26	0
YBX1	E5	0
YBX1	E20	13
TSC22D3	E12	1
TSC22D3	E8	3
TSC22D3	E28	5
TSC22D3	E21	0
TSC22D3	E16	0
TSC22D3	E24	1
TSC22D3	E6	0
TSC22D3	E15	0
TSC22D3	E17	0
TSC22D3	E22	0
TSC22D3	E29	0
TSC22D3	E4	11
TSC22D3	E19	1
TSC22D3	E13	2
TSC22D3	E14	0
TSC22D3	E11	10
TSC22D3	E23	0
TSC22D3	E10	0
TSC22D3	E9	0
TSC22D3	E1	0
TSC22D3	E27	12
TSC22D3	E2	21
TSC22D3	E25	0
TSC22D3	E18	1
TSC22D3	E3	0
TSC22D3	E7	0
TSC22D3	E26	0
TSC22D3	E5	3
TSC22D3	E20	0
EEF1A1	E12	0
EEF1A1	E8	0
EEF1A1	E28	0
EEF1A1	E21	0
EEF1A1	E16	0
EEF1A1	E24	0
EEF1A1	E6	0
EEF1A1	E15	0
EEF1A1	E17	0
EEF1A1	E22	1
EEF1A1	E29	0
EEF1A1	E4	0
EEF1A1	E19	0
EEF1A1	E13	0
EEF1A1	E14	0
EEF1A1	E11	0
EEF1A1	E23	0
EEF1A1	E10	0
EEF1A1	E9	0
EEF1A1	E1	0
EEF1A1	E27	16
EEF1A1	E2	17
EEF1A1	E25	0
EEF1A1	E18	1
EEF1A1	E3	0
EEF1A1	E7	0
EEF1A1	E26	1
EEF1A1	E5	0
EEF1A1	E20	0
KLF1	E12	0
KLF1	E8	0
KLF1	E28	0
KLF1	E21	0
KLF1	E16	0
KLF1	E24	0
KLF1	E6	0
KLF1	E15	0
KLF1	E17	0
KLF1	E22	0
KLF1	E29	0
KLF1	E4	0
KLF1	E19	1
KLF1	E13	0
KLF1	E14	0
KLF1	E11	13
KLF1	E23	0
KLF1	E10	0
KLF1	E9	0
KLF1	E1	0
KLF1	E27	0
KLF1	E2	8
KLF1	E25	0
KLF1	E18	0
KLF1	E3	0
KLF1	E7	0
KLF1	E26	0
KLF1	E5	0
KLF1	E20	0
ARNTL	E12	0
ARNTL	E8	0
ARNTL	E28	0
ARNTL	E21	0
ARNTL	E16	0
ARNTL	E24	0
ARNTL	E6	0
ARNTL	E15	0
ARNTL	E17	0
ARNTL	E22	0
ARNTL	E29	1
ARNTL	E4	0
ARNTL	E19	0
ARNTL	E13	0
ARNTL	E14	10
ARNTL	E11	0
ARNTL	E23	0
ARNTL	E10	0
ARNTL	E9	0
ARNTL	E1	0
ARNTL	E27	0
ARNTL	E2	0
ARNTL	E25	0
ARNTL	E18	0
ARNTL	E3	0
ARNTL	E7	0
ARNTL	E26	0
ARNTL	E5	0
ARNTL	E20	0
BCL6	E12	0
BCL6	E8	0
BCL6	E28	1
BCL6	E21	0
BCL6	E16	0
