Var=UBE2J2_cluster9	Wt=-1	CondVar=0.159368	CondBias=0.115791	CondWt=SMC4_cluster9=-0.238252,PHLPP2_cluster9=0.486246,CHEK1_cluster9=0.231231,ZNF197_cluster9=0.576743,REL_cluster9=0.21931,RIPK1_cluster9=0.401095,TSC22D2_cluster9=0.265902,E2F3_cluster9=-0.0362702,ZNF334_cluster9=0.452265,ZFP90_cluster9=0.382391,SRPK1_cluster9=0.195111,ZFP57_cluster9=0.521191,RXRA_cluster9=0.522403
Var=ACAP3_cluster9	Wt=-1	CondVar=8.76799e-10	CondBias=2.25776e-10	CondWt=FKBP1B_cluster9=-0.745905,MTA3_cluster9=-0.652467,ZNF589_cluster9=2.33907e-06,RFX1_cluster9=0.926257,AHR_cluster9=0.996774,PPP5D1_cluster9=0.652973,MAST4_cluster9=-1.17655,NCOA2_cluster9=0.943504,SUFU_cluster9=0.771066,FRS2_cluster9=0.765203,CDK18_cluster9=-0.776781,FANK1_cluster9=-3.31348e-06,ZNF283_cluster9=0.670895
Var=PUSL1_cluster9	Wt=-1	CondVar=1.37805e-09	CondBias=8.75918e-09	CondWt=TBX6_cluster9=-0.327735,APTX_cluster9=1.70305e-08,NLK_cluster9=0.278519,NR2C2_cluster9=-0.44242,ZNF584_cluster9=-0.104012,BRF1_cluster9=0.704346,ZNF300_cluster9=0.400681,POLR3A_cluster9=0.575673,FOXJ2_cluster9=0.212084,RNF2_cluster9=-1.4524e-07,TAF1A_cluster9=0.650532,ZNF467_cluster9=-0.888383,ZBTB26_cluster9=0.512399,FYN_cluster9=0.938531,PDPR_cluster9=2.01597e-07,HIST1H2BC_cluster9=-0.63243,TP53BP2_cluster9=0.917385,STK39_cluster9=0.621995,ZNF208_cluster9=0.674594,ZNF222_cluster9=9.22024e-07,SCML1_cluster9=-0.0809088,SMAD7_cluster9=2.34899e-08,PPIP5K1_cluster9=1.40348,KHDRBS2_cluster9=0.0853616,TCF7_cluster9=5.89623e-08,PRG2_cluster9=0.671064,TSHZ1_cluster9=-1.27215,ZNF398_cluster9=-0.695414,FXR2_cluster9=-0.354166,ZNF565_cluster9=0.273048,HKR1_cluster9=-1.15838e-06,FKBP1B_cluster9=0.451964,ZNF341_cluster9=-0.0728626,STK35_cluster9=0.109403,TAF5L_cluster9=-0.362934,ZSCAN1_cluster9=0.671531,DCLK2_cluster9=-0.66969,ABL1_cluster9=-2.30479e-08,ZNF142_cluster9=-0.425361,ZNF700_cluster9=-0.86316,CIRH1A_cluster9=2.33899e-08
Var=CPSF3L_cluster9	Wt=-1	CondVar=0.159748	CondBias=0.171211	CondWt=KLF3_cluster9=0.131777,NCOA3_cluster9=0.554718,FER_cluster9=0.343968,RFX1_cluster9=0.555912,RFX3_cluster9=0.228331,ZNF334_cluster9=0.393334,TXK_cluster9=0.537486,PPM1M_cluster9=0.657327,CEBPZ_cluster9=-0.0217902,MYC_cluster9=-0.148731,POU2F1_cluster9=0.307739,INPPL1_cluster9=0.316559
Var=GLTPD1_cluster9	Wt=-1	CondVar=2.38732e-10	CondBias=2.41624e-11	CondWt=ZNF208_cluster9=0.759525,FAM109B_cluster9=-0.900246
Var=DVL1_cluster9	Wt=-1	CondVar=2.12507e-10	CondBias=3.27739e-11	CondWt=USF1_cluster9=1.06069
Var=AURKAIP1_cluster9	Wt=-1	CondVar=0.365739	CondBias=0.722495	CondWt=SP3_cluster9=0.215565,RUNX3_cluster9=0.182808,SP1_cluster9=-0.0393228,ELF4_cluster9=0.389291
Var=CCNL2_cluster9	Wt=-1	CondVar=0.0921773	CondBias=0.176022	CondWt=SHOC2_cluster9=-0.305485,ACP2_cluster9=0.460374,IGF1R_cluster9=0.386283,ZNF211_cluster9=0.351418,ZNF154_cluster9=0.619756,KLF11_cluster9=0.905336,TXK_cluster9=0.422857,HDAC9_cluster9=0.353546,ETV6_cluster9=-0.110448,MLKL_cluster9=0.441041,SFPQ_cluster9=-0.172326,ELF4_cluster9=0.523361,FXR2_cluster9=0.58831,PPP1R12C_cluster9=0.383236,MECP2_cluster9=0.260288,PPP6R2_cluster9=0.238638
Var=RP4-758J18.2_cluster9	Wt=-1	CondVar=5.52054e-10	CondBias=-1.07456e-09	CondWt=TESK2_cluster9=0.538434,PPIP5K1_cluster9=-0.55196,PBX4_cluster9=-0.26438,ZNF45_cluster9=0.58529,TXK_cluster9=-0.47138,NANP_cluster9=-0.694221,MASTL_cluster9=3.20507e-09,ZNF584_cluster9=0.125562,PRKAB2_cluster9=0.740833,FOXJ2_cluster9=0.986492,STK35_cluster9=2.43817e-09,EPM2A_cluster9=0.678537,ZBTB6_cluster9=0.504355,RGS14_cluster9=0.74554
Var=ANKRD65_cluster9	Wt=-1	CondVar=1.15512e-09	CondBias=-1.00572e-08	CondWt=IMPAD1_cluster9=-4.32684e-08,PRKACA_cluster9=3.30134e-08,DPF1_cluster9=0.612165,ZBTB5_cluster9=-1.48181e-08,NR6A1_cluster9=1.752e-07,ZNF287_cluster9=-3.30029e-07,PIAS4_cluster9=-0.873393,ZNF584_cluster9=-0.864405,PIGG_cluster9=-2.27929e-07,DUSP19_cluster9=-0.840128,ZNF432_cluster9=-4.54141e-07,AKT3_cluster9=0.244041,SCML1_cluster9=-1.13227,HIST1H2BG_cluster9=-0.376314,POGK_cluster9=4.78932e-07,CTNND1_cluster9=0.292288,NRL_cluster9=0.958476,INSR_cluster9=-9.3348e-10,HIVEP1_cluster9=-1.48638e-08,ZNF398_cluster9=-0.2283,CSRNP2_cluster9=0.555108,ULK1_cluster9=-0.244913,MYNN_cluster9=1.33545,TSC22D2_cluster9=1.02828e-08,NR1I2_cluster9=0.136784,TRPS1_cluster9=-0.780548,ZNF611_cluster9=-0.23257,DUSP15_cluster9=-8.76843e-08,ZNF592_cluster9=0.237072,TBX6_cluster9=0.107592,ZNF282_cluster9=7.22651e-08,EAF1_cluster9=-3.09645e-08,SS18L1_cluster9=-0.16218,DUSP6_cluster9=4.40261e-08,PPFIA3_cluster9=-0.230776,RYBP_cluster9=-2.71493e-08,CRTC1_cluster9=0.342257,PPP1R37_cluster9=8.0738e-08,MAST4_cluster9=1.0331,TFEC_cluster9=4.52436e-08,TET1_cluster9=-1.10482,PCP2_cluster9=-0.186675
Var=VWA1_cluster9	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=ATAD3C_cluster9	Wt=-1	CondVar=5.52705e-10	CondBias=9.04803e-11	CondWt=ZNF407_cluster9=1.08681,EYA3_cluster9=-1.31207,FOXJ2_cluster9=1.27451
Var=ATAD3B_cluster9	Wt=-1	CondVar=1.04542e-09	CondBias=-2.36275e-09	CondWt=LRRFIP1_cluster9=2.88532e-09,SSH2_cluster9=-3.46266e-09,ITPK1_cluster9=-0.259021,PAX8_cluster9=-0.200405,ZNF142_cluster9=1.00566,JAK1_cluster9=-3.66999e-09,DCP1A_cluster9=4.1171e-09,ZNF599_cluster9=-6.03332e-09,SIRT6_cluster9=6.89796e-09,ZNF12_cluster9=0.24189,ZNF300_cluster9=-0.947309,CXXC1_cluster9=-3.88964e-09,TET1_cluster9=0.225312,TULP3_cluster9=0.22488,TTK_cluster9=1.6657e-09,MYNN_cluster9=-0.817036,ZNF550_cluster9=1.14831e-08,SCML1_cluster9=0.69273,TBX6_cluster9=-0.0968556,STAT5B_cluster9=5.37087e-09,DUSP19_cluster9=0.513993,ZNF584_cluster9=0.839627,PIGG_cluster9=0.781762,JMY_cluster9=6.77289e-09,BRF2_cluster9=6.18209e-09,ZNF493_cluster9=-7.27188e-09,PRG2_cluster9=-1.58656,PBX1_cluster9=-0.419994,TOB1_cluster9=0.890012,ZNF417_cluster9=1.00601,ZNF202_cluster9=8.44765e-09,LZTR1_cluster9=0.208517
Var=ATAD3A_cluster9	Wt=-1	CondVar=1.00498e-09	CondBias=-3.69073e-08	CondWt=PRG2_cluster9=-1.18573,GABPB2_cluster9=-0.638232,ZNF84_cluster9=-0.357289,HOXA4_cluster9=-0.109936,FANK1_cluster9=0.53098,CBL_cluster9=0.742502,HMGN4_cluster9=0.589896,ZNF142_cluster9=0.751587,CRTC1_cluster9=0.460528,CDK3_cluster9=-0.362936,PRKX_cluster9=6.87721e-08,RYBP_cluster9=-1.22016e-06,POLR1A_cluster9=0.33266,CIC_cluster9=0.682154,ZNF341_cluster9=-0.128745,MTMR1_cluster9=0.556465,ENPP2_cluster9=0.356056,ZNF398_cluster9=-0.30719,SCML1_cluster9=-0.244053,ZNF205_cluster9=0.409617,ETV5_cluster9=-0.469173,C12orf5_cluster9=-0.168087,ZNF589_cluster9=-0.223434,CTH_cluster9=0.23287,ZNF343_cluster9=6.22128e-07,PTPRN2_cluster9=0.396102,HOXB3_cluster9=0.18515,PER3_cluster9=-0.358578,YBX1_cluster9=1.48844e-08,PRKG1_cluster9=0.438703,MAST4_cluster9=0.890713,HIST1H2BN_cluster9=-0.650748,RIPK3_cluster9=0.441543,MYLK_cluster9=0.566282,ZNF300_cluster9=-0.707978,HDAC11_cluster9=0.430408,TBL1X_cluster9=0.6004
Var=SSU72_cluster9	Wt=-1	CondVar=0.373789	CondBias=0.774351	CondWt=HDAC10_cluster9=-0.28524,ATF3_cluster9=-0.243126
Var=AL645728.1_cluster9	Wt=-1	CondVar=8.0235e-10	CondBias=3.51659e-10	CondWt=TAF5L_cluster9=-1.03174,FKBP1B_cluster9=-0.908517,MITF_cluster9=0.618443,HIST1H2BC_cluster9=0.898929,TOB1_cluster9=1.07015,PRKAB2_cluster9=-0.45277,EPM2A_cluster9=-0.414697,SFMBT1_cluster9=-0.230364,ZNF257_cluster9=0.304496,NANP_cluster9=0.424283,BRF1_cluster9=-1.00115,CDK18_cluster9=0.946121,ZNF514_cluster9=0.365344,ZNFX1_cluster9=3.5407e-09,POLR3B_cluster9=-0.253298,DAPK3_cluster9=-7.41355e-09
Var=C1orf233_cluster9	Wt=-1	CondVar=0.012484	CondBias=-0.101226	CondWt=CBX7_cluster9=0.131171,PKMYT1_cluster9=-0.0830482,L3MBTL4_cluster9=0.338626,KLF2_cluster9=0.122806,ZNF394_cluster9=0.0970823,MBD2_cluster9=0.0886748,PTPRN2_cluster9=0.358081,PPM1L_cluster9=0.571428,GABPA_cluster9=0.0842354,INPP4B_cluster9=-0.364338,TCF12_cluster9=-0.24696,E2F4_cluster9=0.0552141,MTMR4_cluster9=0.0808252,NCAPH_cluster9=0.0992326,FAM109B_cluster9=1.15119,PPP1R9A_cluster9=0.900972,ZSCAN1_cluster9=0.79272,ZNF267_cluster9=-0.188602,PHF12_cluster9=-0.0961681,STAT3_cluster9=0.0613953,OSBP_cluster9=0.25412,ZFY_cluster9=-0.200135,ZSWIM4_cluster9=0.113367,AEBP2_cluster9=-0.226124,NR2C2_cluster9=-0.367044,AFF4_cluster9=0.0836144,ETV3_cluster9=0.0312884,GMEB2_cluster9=0.141253,GTF2B_cluster9=0.130017
Var=RP11-345P4.9_cluster9	Wt=-1	CondVar=6.3126e-10	CondBias=1.49023e-10	CondWt=RYBP_cluster9=-4.39514e-09,CRTC1_cluster9=0.502259,ZNF417_cluster9=-0.579805,DPF1_cluster9=-1.05247,TSKS_cluster9=0.688922,ARNTL_cluster9=0.277319,ULK1_cluster9=-2.23751e-09,PAN3_cluster9=-0.598798,HIST1H2BG_cluster9=-0.552238,ZBTB39_cluster9=0.453917,ZNF398_cluster9=-0.335026,ZNF382_cluster9=0.298255,IL16_cluster9=1.10248,ZNF410_cluster9=0.581673,POLR1A_cluster9=0.362804,SH2D4A_cluster9=-0.555584
