Var=UBE2J2_cluster9	Wt=-1	CondVar=0.0468366	CondBias=-0.121907	CondWt=STK16_cluster9=-0.117805,CDK20_cluster9=0.332487,PPP6R3_cluster9=0.231062,NCOA6_cluster9=0.291102,MTF1_cluster9=0.115031,TCF20_cluster9=0.653629,MBD2_cluster9=0.0851855,ING5_cluster9=0.296975,CDKL3_cluster9=0.521508,MDM4_cluster9=0.072,WDR81_cluster9=-0.331862,HDAC1_cluster9=0.118272,CNST_cluster9=0.188132,TOB1_cluster9=0.666156,ZNF599_cluster9=0.249006,ZNF555_cluster9=0.503585,DPF2_cluster9=0.119721,ZNF585B_cluster9=0.412038,MIXL1_cluster9=0.612676,ZNF587_cluster9=0.181161,NR2C1_cluster9=0.335523,TIMM50_cluster9=0.114742,AEBP1_cluster9=0.460687,PPAN_cluster9=-0.178337,RING1_cluster9=0.141831
Var=ACAP3_cluster9	Wt=-1	CondVar=6.14643e-10	CondBias=-1.16108e-10	CondWt=HMGA2_cluster9=1.06937,NFKB1_cluster9=3.95947e-09,FRS2_cluster9=0.765203,ZNF230_cluster9=2.94711e-09,ZNF446_cluster9=-0.848559,ZNF283_cluster9=0.670895,TNS1_cluster9=-0.37533,PLK2_cluster9=0.778903,EEPD1_cluster9=-0.936066,ANKRD42_cluster9=0.789559,SGOL2_cluster9=-4.17273e-09
Var=PUSL1_cluster9	Wt=-1	CondVar=1.14401e-09	CondBias=-6.83981e-09	CondWt=E2F5_cluster9=-1.20346,ID3_cluster9=2.32776e-08,FER_cluster9=9.47665e-09,CBX6_cluster9=-3.09968e-09,ZNF138_cluster9=1.53604e-08,SGK1_cluster9=1.69965e-06,MVP_cluster9=-1.01407,TP53BP1_cluster9=-1.92758e-08,PDPR_cluster9=0.6649,PLK2_cluster9=-0.667456,PDP2_cluster9=0.529497,ULK4_cluster9=-0.740738,ZBTB6_cluster9=1.04711,ZSWIM4_cluster9=-0.579998,PRMT7_cluster9=6.31145e-09,MTMR2_cluster9=3.40955e-08,TSC22D2_cluster9=5.50369e-09,DHX37_cluster9=0.78267,NFE2L3_cluster9=0.956835,NAB2_cluster9=-2.11959e-08,PLD6_cluster9=0.782956,ZNF174_cluster9=0.783166,PPP2R3A_cluster9=0.599959,ELK4_cluster9=-2.10162e-09,ZNF232_cluster9=0.500578,ZNF585B_cluster9=-0.654463,ATR_cluster9=-3.73232e-09,TOB1_cluster9=-0.752892,PRG2_cluster9=-0.671061
Var=CPSF3L_cluster9	Wt=-1	CondVar=0.0951474	CondBias=-0.035584	CondWt=ELF2_cluster9=0.229191,FKBP15_cluster9=0.303689,ZNF513_cluster9=0.732824,ANKRD42_cluster9=0.667365,PPP1R7_cluster9=0.140585,CHAF1A_cluster9=0.153207,PPP1R12B_cluster9=0.287494,PAPOLG_cluster9=0.476516,KLF12_cluster9=0.225839,TIE1_cluster9=-0.327683,SCML1_cluster9=-0.512633,DLGAP5_cluster9=0.375484,ZNF44_cluster9=0.537481,SNAPC2_cluster9=0.255792,SPRED1_cluster9=-0.761022,BRCA1_cluster9=-0.169307,CEBPZ_cluster9=-0.102439,SMAD7_cluster9=0.342473,ANGPT2_cluster9=0.564443
Var=GLTPD1_cluster9	Wt=-1	CondVar=4.08174e-10	CondBias=1.17185e-10	CondWt=CDK17_cluster9=-1.04828,E2F5_cluster9=0.677483,HOXA4_cluster9=0.676485,ARID3B_cluster9=0.732585,ZNF501_cluster9=0.727702
Var=DVL1_cluster9	Wt=-1	CondVar=4.43522e-10	CondBias=7.57906e-11	CondWt=USF1_cluster9=1.06069,ENPP2_cluster9=0.994897,FBXL19_cluster9=-1.14906
Var=AURKAIP1_cluster9	Wt=-1	CondVar=0.29099	CondBias=-0.516198	CondWt=SP1_cluster9=-0.0551072,ZNF524_cluster9=0.346313,GTF3C4_cluster9=-0.259503,WDR82_cluster9=-0.320665,NR2C1_cluster9=-0.279167,SP3_cluster9=-0.0262052,JDP2_cluster9=-0.133367,PTMA_cluster9=0.734824,SMAD1_cluster9=-0.227412
Var=CCNL2_cluster9	Wt=-1	CondVar=0.0365943	CondBias=0.0102105	CondWt=ZNF18_cluster9=0.288767,PKMYT1_cluster9=-0.569354,HIVEP2_cluster9=0.357937,ANKRD42_cluster9=0.618712,ZNF700_cluster9=-0.215016,ZNF219_cluster9=0.344226,ZDHHC15_cluster9=0.527519,NLK_cluster9=1.1768,STAT5B_cluster9=0.343733,NFX1_cluster9=-0.388592,MTMR3_cluster9=-0.220447,ATF7IP_cluster9=0.290045,MASTL_cluster9=0.606997,E4F1_cluster9=1.01783,PPP2R5D_cluster9=-0.186143,FAM109A_cluster9=-0.20973,EPHB4_cluster9=-0.59437,KLF5_cluster9=0.57492,SREBF1_cluster9=0.361296,RYBP_cluster9=0.208026,SFI1_cluster9=0.265382,MEF2C_cluster9=-0.245522,ZNF354C_cluster9=0.0959973,PPP1R12C_cluster9=0.68058,CDC20_cluster9=0.775825,RIPK3_cluster9=0.417468,E2F2_cluster9=0.520186,USF1_cluster9=-0.494504,RBM15_cluster9=0.392104
Var=RP4-758J18.2_cluster9	Wt=-1	CondVar=2.6262e-10	CondBias=-2.13674e-09	CondWt=ZNF585B_cluster9=-0.445806,ZBTB6_cluster9=0.504355,RGS14_cluster9=0.74554,FBXO15_cluster9=-0.133541,ZNF398_cluster9=0.196212,ZNF17_cluster9=0.271922,FOXJ2_cluster9=0.697556
Var=ANKRD65_cluster9	Wt=-1	CondVar=0.00174886	CondBias=-0.00969141	CondWt=NTPCR_cluster9=0.0483348,IRAK4_cluster9=-0.0469944,PTP4A2_cluster9=0.0290862,ABTB1_cluster9=0.0467872,HMGA2_cluster9=0.267234,FMR1_cluster9=-0.0808134,NFKB1_cluster9=-0.133479,WBP11_cluster9=-0.0308122,SMAD3_cluster9=-0.251808,HINFP_cluster9=-0.0256315,STYX_cluster9=0.0684805,BPGM_cluster9=0.0914775,CDK18_cluster9=0.802956,CTH_cluster9=0.742014,EEPD1_cluster9=-0.205763,ZNF81_cluster9=-0.732131,NRL_cluster9=1.11236,SRPK2_cluster9=-0.0281334,ZNF599_cluster9=0.460861,CRTC1_cluster9=0.770225,SGK1_cluster9=0.185857,IRF1_cluster9=0.0216919,STRIP1_cluster9=0.0991873,PA2G4_cluster9=-0.0312347,PPM1F_cluster9=-0.0177508,CDC25C_cluster9=-0.0743002,PPAN_cluster9=0.0315917,TOX4_cluster9=-0.0269002,AKAP11_cluster9=-1.06667,BRPF3_cluster9=-0.0483339,SP2_cluster9=-0.044605,LIMK1_cluster9=-0.131397,DUSP12_cluster9=-0.0280767,TARBP1_cluster9=-0.0327966,RFXAP_cluster9=0.0442089,MYNN_cluster9=0.132871,FLNA_cluster9=0.0258513,STK10_cluster9=0.110844,RB1_cluster9=0.0505859,RECQL4_cluster9=0.0413983,PIGG_cluster9=0.0501017,ZNF432_cluster9=-0.0882801
