ZNF398_cluster10	GLTPD1_cluster10	2.14515e-08
ZAP70_cluster10	GLTPD1_cluster10	0.673937
PRKAB2_cluster10	GLTPD1_cluster10	0.865851
TCF20_cluster10	GLTPD1_cluster10	-4.34858e-08
ZNF77_cluster10	GLTPD1_cluster10	-5.01213e-08
HLF_cluster10	GLTPD1_cluster10	-0.817704
PASK_cluster10	GLTPD1_cluster10	0.801555
STK39_cluster10	GLTPD1_cluster10	1.20524e-08
FUT4_cluster10	GLTPD1_cluster10	0.835596
ETV5_cluster10	GLTPD1_cluster10	-0.845582
BTRC_cluster10	DVL1_cluster10	-0.888695
USF1_cluster10	DVL1_cluster10	1.06069
BCL3_cluster10	DVL1_cluster10	1.65457
NR2C1_cluster10	AURKAIP1_cluster10	-0.194837
EIF4A3_cluster10	AURKAIP1_cluster10	0.248226
BANF1_cluster10	AURKAIP1_cluster10	0.286608
SP1_cluster10	AURKAIP1_cluster10	1.76804e-06
UBN1_cluster10	AURKAIP1_cluster10	0.229107
NR2C2_cluster10	AURKAIP1_cluster10	-0.277583
ZNF273_cluster10	AURKAIP1_cluster10	-0.334419
ZNF2_cluster10	CCNL2_cluster10	-0.134166
RAP2A_cluster10	CCNL2_cluster10	-0.0895677
TRIM22_cluster10	CCNL2_cluster10	-0.0262285
ZBTB40_cluster10	CCNL2_cluster10	0.164354
FYN_cluster10	CCNL2_cluster10	-0.297188
CEBPD_cluster10	CCNL2_cluster10	-1.13353
NEK2_cluster10	CCNL2_cluster10	0.143353
ZNF205_cluster10	CCNL2_cluster10	-0.0439332
ZNF624_cluster10	CCNL2_cluster10	-0.602046
ASXL1_cluster10	CCNL2_cluster10	-0.650082
ATF7IP_cluster10	CCNL2_cluster10	0.629313
STK33_cluster10	CCNL2_cluster10	-0.584396
SOCS3_cluster10	CCNL2_cluster10	-0.261824
MINK1_cluster10	CCNL2_cluster10	-0.158516
ZNF250_cluster10	CCNL2_cluster10	0.622329
ZNF77_cluster10	CCNL2_cluster10	-0.292675
ZNF578_cluster10	CCNL2_cluster10	-0.479931
E2F2_cluster10	CCNL2_cluster10	-0.559569
MOK_cluster10	CCNL2_cluster10	0.729567
SP4_cluster10	CCNL2_cluster10	0.438366
ACP6_cluster10	CCNL2_cluster10	0.816028
PLAG1_cluster10	CCNL2_cluster10	-0.639475
MAST1_cluster10	CCNL2_cluster10	0.376664
AKT3_cluster10	CCNL2_cluster10	0.1188
ZNF354C_cluster10	CCNL2_cluster10	0.469576
MAP3K7_cluster10	CCNL2_cluster10	0.0118286
SMARCA1_cluster10	CCNL2_cluster10	0.553484
ZNF565_cluster10	CCNL2_cluster10	0.110412
KSR1_cluster10	CCNL2_cluster10	0.58443
