Var=PUSL1_cluster8	Wt=-1	CondVar=0.0859745	CondBias=-0.0114895	CondWt=FCGR2A_cluster8=0.812351,ZNF611_cluster8=0.278527,ZNF19_cluster8=0.538252,FOXP4_cluster8=0.53431,ZFP1_cluster8=0.255842,RBAK_cluster8=0.278331,FMR1_cluster8=0.178654,PEAK1_cluster8=0.604804,HIST1H2BJ_cluster8=-0.59739,POLR1A_cluster8=0.237474,MAST2_cluster8=-0.292466,ANKRD52_cluster8=0.218595,MCM8_cluster8=0.248943,UTF1_cluster8=0.389754,ZNF74_cluster8=0.783583,HES6_cluster8=1.16722,ZSCAN1_cluster8=0.441523
Var=CPSF3L_cluster8	Wt=-1	CondVar=0.290745	CondBias=0.331573	CondWt=IDS_cluster8=-0.134522,RFX1_cluster8=-0.104547,PPP1R21_cluster8=0.373739,TET1_cluster8=0.499408,INPP5K_cluster8=0.337444,NFIA_cluster8=-0.101649,ZNF593_cluster8=0.211952
Var=GLTPD1_cluster8	Wt=-1	CondVar=0.15245	CondBias=0.0434445	CondWt=HLX_cluster8=0.444061,ZNF449_cluster8=0.326594,ECM1_cluster8=0.570761,ZNF440_cluster8=0.221791,ZNF583_cluster8=0.23746,CDK18_cluster8=0.445794,ZNF285_cluster8=0.615648
Var=DVL1_cluster8	Wt=-1	CondVar=0.00335495	CondBias=-0.000712648	CondWt=TNS3_cluster8=0.0447592,ZNF567_cluster8=0.0387555,HDAC9_cluster8=0.102047,NEK3_cluster8=-0.113697,SH2D4A_cluster8=-0.0506088,BTAF1_cluster8=0.044586,PLAG1_cluster8=-0.0305117,CNEP1R1_cluster8=0.526444,ZNF189_cluster8=-0.0534456,PPP2R5B_cluster8=0.0769812,ENPP5_cluster8=0.0462496,UBTF_cluster8=-0.0216587,ZNF200_cluster8=-0.0527041,HKR1_cluster8=0.0667873,NOTCH4_cluster8=-0.0675452,GFI1_cluster8=-0.319867,ECM1_cluster8=0.234983,DPF1_cluster8=0.163956
Var=AURKAIP1_cluster8	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=CCNL2_cluster8	Wt=-1	CondVar=0.160728	CondBias=0.0577275	CondWt=PAX8_cluster8=0.604967,ARID3B_cluster8=0.578481,HIST1H2BC_cluster8=0.266764,OCLN_cluster8=0.183069,HMGA2_cluster8=0.169853,ARNTL_cluster8=0.126022,PDP1_cluster8=0.186759,ZNF585A_cluster8=0.548768
Var=RP4-758J18.2_cluster8	Wt=-1	CondVar=0.151867	CondBias=0.40183	CondWt=ZNF500_cluster8=0.375972,TP53_cluster8=0.12348,ERG_cluster8=0.0919435,LRP5_cluster8=0.33196,OAZ1_cluster8=-1.83188,ABTB1_cluster8=0.213305
Var=ANKRD65_cluster8	Wt=-1	CondVar=0.0122454	CondBias=-0.0415852	CondWt=FOXP4_cluster8=0.566537,NCOA6_cluster8=-0.119598,DUSP7_cluster8=-0.876103,ZNF570_cluster8=-0.795377,TESK1_cluster8=-0.876949,ZBTB39_cluster8=0.826329,SNAI3_cluster8=0.0665607,E2F5_cluster8=0.822388,ZNF585A_cluster8=0.857486,ZNF200_cluster8=1.20127,PBX4_cluster8=-0.546719,KLF8_cluster8=0.597533,ZNF641_cluster8=-0.338244,ZNF713_cluster8=0.287437,NRL_cluster8=-0.879467,PSTPIP2_cluster8=0.0540798,ZNF146_cluster8=0.0514159,L3MBTL4_cluster8=0.0549689,PPFIA1_cluster8=-0.0491548,STK10_cluster8=0.0798205,HES6_cluster8=1.16368,ZHX2_cluster8=-1.02908,ZNF263_cluster8=0.0576825,SETDB2_cluster8=0.0688084,ZNF587_cluster8=0.0827633,ZNF43_cluster8=0.0558338,PCP2_cluster8=0.0117833,MTA2_cluster8=-0.013922,HES4_cluster8=-0.221192,TAF13_cluster8=0.870551,BCL6_cluster8=0.69112,EEPD1_cluster8=0.340944,ZNF14_cluster8=0.00865285,SLK_cluster8=-0.0484517
Var=VWA1_cluster8	Wt=-1	CondVar=0.110998	CondBias=-0.0658468	CondWt=ZNF570_cluster8=0.577724,SMAD2_cluster8=0.162162,ZNF10_cluster8=0.321018,MTOR_cluster8=0.35997,PPM1K_cluster8=0.159263,ZNF169_cluster8=0.210824,TESK1_cluster8=1.48398,PHLPP1_cluster8=0.29432,BCL6_cluster8=0.855103,FAM109A_cluster8=1.02983,CDK18_cluster8=0.430755,KSR1_cluster8=0.155151,CHP1_cluster8=0.274318
Var=ATAD3C_cluster8	Wt=-1	CondVar=0.00493515	CondBias=-0.00255264	CondWt=TFEB_cluster8=0.29306,FCGR2A_cluster8=-0.906847,SP1_cluster8=1.03456,ZNF382_cluster8=-0.501903,FBXO15_cluster8=-0.819566,DNAJC6_cluster8=-0.802218,FGR_cluster8=-1.12794,DUSP7_cluster8=-0.329958,TFE3_cluster8=-0.837289,ZNF70_cluster8=0.117476,LGALS1_cluster8=-0.0343771,MEF2D_cluster8=0.0600211,ZNF117_cluster8=0.123547,MOK_cluster8=0.0317324,ZNF343_cluster8=-0.648734,AURKA_cluster8=0.00511741,NCOA6_cluster8=-0.0556618,ZNF649_cluster8=-0.0564658,FOXP4_cluster8=0.130771,RAI1_cluster8=0.878626,CIC_cluster8=-0.0619354,ZNF563_cluster8=0.688667,HES4_cluster8=1.09066,PKN3_cluster8=-0.0138235,IKZF2_cluster8=1.1287,HOXA4_cluster8=0.352653,WDR82_cluster8=0.0376977,HES6_cluster8=0.667411
Var=ATAD3B_cluster8	Wt=-1	CondVar=0.0380656	CondBias=-0.0060773	CondWt=BRPF3_cluster8=-0.317046,BRIP1_cluster8=0.150865,ZNF410_cluster8=0.218551,ZNF623_cluster8=0.518352,DNAJC6_cluster8=0.845693,BRD1_cluster8=0.368227,ZNF550_cluster8=-0.0850563,ZNF592_cluster8=0.159766,CNEP1R1_cluster8=-0.335993,ECM1_cluster8=-0.533478,ZNF570_cluster8=0.56667,NCOA6_cluster8=0.198573,GFI1_cluster8=0.527526,ZNF2_cluster8=-0.259926,DHX37_cluster8=0.152141
