JUN	5	0.991743
YBX1	2	0.999233
SNIP1	6	0.975676
E2F6	5	0.972727
HMGN2	5	0.993793
PTMA	9	0.991743
ID2	7	0.638053
BHLHE40	10	0.975676
CDC20	8	0.978049
ENO1	9	0.978049
E2F2	6	0.975676
MTA3	4	0.879003
THRB	2	0.493846
ARNT	8	0.975676
DYRK3	6	0.975676
NCAPH	8	0.960606
DUSP7	3	0.986957
MYCN	4	0.991743
TP53BP2	1	0.972727
ZBTB40	10	0.999286
NR2C2	4	0.975676
CTH	4	0.978049
PBX1	6	0.972727
SFMBT1	1	0.986957
FCGR2A	6	0.975676
LEPR	7	0.972727
NR1D2	4	0.986154
KLF7	10	0.997361
USF1	3	0.997756
PER3	4	0.972727
PPP1R12B	5	0.986957
NR1I2	10	0.995028
CD247	1	0.975676
RPAP2	3	0.972727
TAF13	7	0.986154
ZNF695	8	0.986154
PIGV	3	0.972727
KLF11	7	0.978049
ZNF148	5	0.972727
ELK4	3	0.972381
CITED4	10	0.972727
SNRK	9	0.978049
CDC14A	10	0.978049
GATA2	9	0.978049
HDAC11	3	0.972727
ZNF142	10	0.972727
PASK	7	0.994118
GFI1	3	0.998830
ZNF2	1	0.986957
MXD1	4	0.978049
NFYC	1	0.975676
CEBPZ	2	0.987671
BIN1	9	0.975676
ZNF281	1	0.972727
PNRC2	1	0.972727
S100A4	7	0.997450
NEK2	8	0.972727
