tp,mean,variance
9,7,37.4285714285714
1,7.5,34.8571428571429
10,5.875,29.8392857142857
6,6.625,21.9821428571429
5,8.25,21.6428571428571
4,7.5,21.1428571428571
7,5.875,18.6964285714286
2,6.125,17.8392857142857
3,7.25,15.3571428571429
8,6.125,10.6964285714286
