Var=CCNL2_cluster10	Wt=-1	CondVar=9.06254e-10	CondBias=1.21408e-09	CondWt=IVNS1ABP_cluster10=-1.4632e-08,ETV5_cluster10=-3.03558e-10,PPP1R26_cluster10=-0.411936,ZNF445_cluster10=-0.552431,PPP6R1_cluster10=0.807752,ZNF354C_cluster10=0.511132,CREBL2_cluster10=0.779043,AEBP1_cluster10=0.314452,TRERF1_cluster10=0.570501,ZNF595_cluster10=2.10805e-08,SIRT3_cluster10=3.73989e-09,PARD3_cluster10=0.797646,ZNF337_cluster10=3.5223e-09,SSH3_cluster10=0.739332,ZNF142_cluster10=0.162153,ZNF296_cluster10=0.717287,ENPP4_cluster10=0.846443,ZNF410_cluster10=-0.460268,LEPR_cluster10=-0.222463,SOCS3_cluster10=0.494891,FOXK2_cluster10=-0.228831,PHLPP2_cluster10=-0.141633,PDP2_cluster10=0.386387,ENPP2_cluster10=-1.27044e-06,SCMH1_cluster10=0.642864,ZNF16_cluster10=2.91921e-09,ZBTB6_cluster10=-0.199586,ZNF30_cluster10=0.154823,CD247_cluster10=0.919348,TAF4B_cluster10=-0.352767,KLF12_cluster10=-0.330852,ZNF341_cluster10=-0.457905,SMARCA1_cluster10=0.545533,FAM109A_cluster10=-0.277964,PPP2R5D_cluster10=0.577371
Var=RP4-758J18.2_cluster10	Wt=-1	CondVar=0.184916	CondBias=0.0172954	CondWt=ZNF117_cluster10=0.390026,ZNF559_cluster10=0.554455,ELK3_cluster10=0.272837,DPF1_cluster10=0.737667,EIF2AK2_cluster10=0.340244,CALCOCO1_cluster10=0.850607,PDK3_cluster10=0.829447
Var=ANKRD65_cluster10	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=VWA1_cluster10	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=ATAD3C_cluster10	Wt=-1	CondVar=3.52061e-10	CondBias=-2.62217e-09	CondWt=MAP2K5_cluster10=-0.696997,FOXJ2_cluster10=0.373293,OBSCN_cluster10=0.48314,PPP1R15B_cluster10=0.470709,ZNF610_cluster10=0.395016,CDKL1_cluster10=1.01872,GMEB2_cluster10=0.49626
Var=ATAD3B_cluster10	Wt=-1	CondVar=5.72472e-10	CondBias=-2.22307e-09	CondWt=MAP2K5_cluster10=-0.46812,PBX1_cluster10=1.51899e-09,FOXJ2_cluster10=0.250712,DYRK2_cluster10=-0.423659,ETV5_cluster10=5.57372e-09,ENPP2_cluster10=0.673759,PPP1R15B_cluster10=0.31614,ZNF264_cluster10=1.03062,GMEB2_cluster10=0.3333,ZNF610_cluster10=0.265302,ZNF343_cluster10=-0.314688,CALCOCO1_cluster10=-0.527489,ZNF101_cluster10=0.451649,GFI1_cluster10=0.372666,OBSCN_cluster10=0.324488,ZFP28_cluster10=2.63537e-09,ZFPM1_cluster10=0.262885,ZBTB39_cluster10=0.787571,IRF2BP1_cluster10=0.865262,SOCS3_cluster10=0.449484
Var=ATAD3A_cluster10	Wt=-1	CondVar=0.101895	CondBias=-0.748351	CondWt=NFAT5_cluster10=0.299473,NR1D1_cluster10=0.396804,HHEX_cluster10=0.245352,SMAD4_cluster10=0.244956,ASB6_cluster10=-0.24757,YBX1_cluster10=0.354251,E2F3_cluster10=0.203517,SP2_cluster10=-0.353145,TCF3_cluster10=0.110626,PARP1_cluster10=0.183138,ANKS1A_cluster10=0.490087,TCF4_cluster10=-0.141617,SP3_cluster10=0.224719,CALCOCO1_cluster10=0.619697,PIM2_cluster10=0.314366,ZBTB33_cluster10=0.692187
Var=SSU72_cluster10	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=AL645728.1_cluster10	Wt=-1	CondVar=6.63618e-10	CondBias=-1.5778e-11	CondWt=SOCS3_cluster10=-0.54046,ZNF264_cluster10=5.36575e-09,ZNF211_cluster10=-1.0089,LIMK1_cluster10=0.882033,PARD3_cluster10=0.355618,CDC25B_cluster10=2.43112e-09,ZNF101_cluster10=-2.15135e-09,ZNF81_cluster10=0.438742,MYLK_cluster10=-0.45554,ZFP28_cluster10=-0.424953,CSRNP2_cluster10=0.385001,FAM109A_cluster10=-0.858596,PPP1R15B_cluster10=-0.917697,DYRK2_cluster10=0.509409,MTMR10_cluster10=0.924165
Var=C1orf233_cluster10	Wt=-1	CondVar=4.28274e-10	CondBias=1.2326e-10	CondWt=BTRC_cluster10=-0.744549,ZNF211_cluster10=1.03804,CD247_cluster10=0.661896,USF1_cluster10=0.888649,ZFPM1_cluster10=0.650439
