Var=UBE2J2_cluster9	Wt=-1	CondVar=0.060128	CondBias=0.116884	CondWt=NFIA_cluster9=-0.25264,EIF2AK3_cluster9=0.299751,PHLPP2_cluster9=0.599752,TCOF1_cluster9=0.241309,ZNF334_cluster9=0.574278,ATF2_cluster9=0.709945,ZNF587_cluster9=0.451478,YAF2_cluster9=0.20481,HCK_cluster9=-0.186986,SNRPD1_cluster9=-0.816142,ZBTB24_cluster9=0.428029,ZNF507_cluster9=0.346609,RELB_cluster9=0.431884,HIST1H1B_cluster9=-0.270974,ZNF431_cluster9=0.336109,RGS14_cluster9=0.540506,E2F3_cluster9=-0.111268,PLK2_cluster9=0.492267,ZNF593_cluster9=0.0908339,TAF5L_cluster9=-0.287538,ZNF273_cluster9=-0.266713,ZNF555_cluster9=0.546151,KDM3B_cluster9=0.362022,TAF4_cluster9=-0.289356
Var=ACAP3_cluster9	Wt=-1	CondVar=9.54368e-10	CondBias=2.20372e-09	CondWt=ANKRD42_cluster9=0.789559,ULK1_cluster9=1.30636e-09,EEPD1_cluster9=-0.936066,ACP6_cluster9=1.73544e-09,TRPS1_cluster9=-0.628558,ZNF333_cluster9=1.01651,INPP4B_cluster9=1.09525,ZNF230_cluster9=2.69184e-09,FRS2_cluster9=3.86549e-09,NFKB1_cluster9=3.16241e-09,HMGA2_cluster9=1.06937,PPIP5K1_cluster9=-0.239854,ERCC8_cluster9=0.67416,PDP2_cluster9=-0.617908,ICAM1_cluster9=5.70858e-09,CD247_cluster9=-0.528171,UBASH3B_cluster9=-0.812671,KSR1_cluster9=-0.739788,NCOA2_cluster9=-0.943498
Var=PUSL1_cluster9	Wt=-1	CondVar=1.2624e-09	CondBias=3.17423e-08	CondWt=TBP_cluster9=0.879684,UBASH3B_cluster9=-0.984845,ULK2_cluster9=0.726158,E2F2_cluster9=0.643311,ZDHHC2_cluster9=-1.06796e-08,HMGN4_cluster9=-0.195565,MYBBP1A_cluster9=-3.63796e-07,ZFP64_cluster9=-0.716711,HIST1H2BC_cluster9=1.52683,KLF5_cluster9=0.635087,ZNF17_cluster9=-0.681469,ZNF398_cluster9=-0.695415,MED1_cluster9=-7.80724e-09,HIVEP1_cluster9=-0.444519,STK39_cluster9=0.621995,ERCC8_cluster9=0.577701,CDC25A_cluster9=-0.949899,AR_cluster9=-0.518383,ATR_cluster9=0.244706,CRTC1_cluster9=0.737187,FBXL19_cluster9=0.851082,CYP2R1_cluster9=-0.209629,ENPP2_cluster9=-0.569958,ANKRD42_cluster9=0.956836
Var=CPSF3L_cluster9	Wt=-1	CondVar=0.143834	CondBias=0.0765242	CondWt=ZBTB10_cluster9=0.541555,HOMEZ_cluster9=0.405211,NFIX_cluster9=-0.262076,ING1_cluster9=0.240383,INPP5J_cluster9=-0.365781,POU2F1_cluster9=0.242595,E2F3_cluster9=-0.128177,PAN3_cluster9=0.621978,TLK2_cluster9=0.277886,RFX1_cluster9=0.19792,FOXJ3_cluster9=0.505514,TXK_cluster9=0.567658,SNAPC2_cluster9=0.356786,E2F5_cluster9=-0.602541
Var=GLTPD1_cluster9	Wt=-1	CondVar=3.46566e-10	CondBias=1.27077e-09	CondWt=ZNF10_cluster9=-0.750612,SS18L1_cluster9=-0.556206,NEK8_cluster9=0.60218,TAF1A_cluster9=0.732432,ZNF713_cluster9=0.396233,ARID3B_cluster9=0.732585
Var=DVL1_cluster9	Wt=-1	CondVar=5.30304e-10	CondBias=-1.76877e-09	CondWt=ZNF713_cluster9=-0.614309,NEK8_cluster9=-0.933605,ENPP2_cluster9=0.994897,FBXL19_cluster9=-1.14906,SS18L1_cluster9=0.862328
Var=AURKAIP1_cluster9	Wt=-1	CondVar=0.309647	CondBias=-0.278167	CondWt=SP1_cluster9=-0.109484,MAML3_cluster9=0.36599,USF2_cluster9=-0.336264,PQBP1_cluster9=0.271259,PTMA_cluster9=0.545358,SP3_cluster9=0.142186
Var=CCNL2_cluster9	Wt=-1	CondVar=0.104948	CondBias=-0.0731993	CondWt=ZNF283_cluster9=-0.456057,ZBTB2_cluster9=0.363851,E4F1_cluster9=0.589715,CDC20_cluster9=0.384915,MECP2_cluster9=0.385197,PPP1R12C_cluster9=0.303533,HINFP_cluster9=0.256804,HIC2_cluster9=-0.090828,MAP2K6_cluster9=-0.41414,SREBF1_cluster9=0.251378,HDAC9_cluster9=0.260444,TNS3_cluster9=0.379157,ZNF655_cluster9=-0.200803,ZNF219_cluster9=0.277648,PPP1R21_cluster9=0.756946,PTPDC1_cluster9=0.485129,E2F2_cluster9=0.163743,RIPK3_cluster9=0.522854,BHLHE40_cluster9=0.120993,ADCK3_cluster9=0.231451,ZNF347_cluster9=-0.216385,KLF7_cluster9=-0.330187,E2F3_cluster9=-0.1829,KLF12_cluster9=-0.252223
Var=RP4-758J18.2_cluster9	Wt=-1	CondVar=4.88028e-10	CondBias=2.32601e-10	CondWt=ZNF17_cluster9=0.271922,ZBTB6_cluster9=0.504354,POGK_cluster9=0.205052,CDK18_cluster9=0.64123,DAB2_cluster9=-0.202769,PBX4_cluster9=-0.26438,PDP2_cluster9=0.10564,RGS14_cluster9=0.74554,FOXJ2_cluster9=0.697556,AMHR2_cluster9=0.845634,HIST1H2BC_cluster9=0.861602,ZFP64_cluster9=0.690433
Var=ANKRD65_cluster9	Wt=-1	CondVar=1.04188e-09	CondBias=-4.34491e-08	CondWt=HIVEP2_cluster9=-3.82957e-08,CALCOCO1_cluster9=-0.378795,ICK_cluster9=0.456069,PLK2_cluster9=0.400647,SCML1_cluster9=-0.331634,TTK_cluster9=-1.08429,DAB2_cluster9=-0.610063,ZNF573_cluster9=-0.455243,MYNN_cluster9=1.33545,RB1_cluster9=3.05871e-08,CRTC1_cluster9=0.442502,PHLPP1_cluster9=0.207141,LAT_cluster9=1.45704,PLAGL2_cluster9=-0.439174,PTPN22_cluster9=-2.51763e-08,ZNF282_cluster9=4.11749e-08,DUSP15_cluster9=-1.42096e-07,RYBP_cluster9=4.19065e-07,CREBL2_cluster9=-1.22668,DAPK1_cluster9=1.35477e-07,PPIP5K1_cluster9=-1.01693,SYNJ2_cluster9=0.398765
