Var=PUSL1_cluster9	Wt=-1	CondVar=0.0474413	CondBias=0.000205153	CondWt=JDP2_cluster9=0.00983896,ZBTB6_cluster9=0.523494,REST_cluster9=-0.056152,FOSL1_cluster9=0.127347,ZBTB26_cluster9=0.382096,CDC14A_cluster9=0.771468,E2F2_cluster9=0.113444,HIC2_cluster9=0.146473,PPP2R3A_cluster9=0.522279,FBXO15_cluster9=0.466806,ZNF208_cluster9=0.481619,PPP6R1_cluster9=0.0718601,ATF3_cluster9=-0.096336,ZNF669_cluster9=-0.178614,ZNF563_cluster9=0.595793,STK39_cluster9=0.280545,MYBBP1A_cluster9=0.25635,CD247_cluster9=-0.457026
Var=CPSF3L_cluster9	Wt=-1	CondVar=0.132843	CondBias=0.0753984	CondWt=ZBTB10_cluster9=0.54208,DUSP7_cluster9=0.392437,ZNF564_cluster9=0.406678,ZNF334_cluster9=0.690608,PAX8_cluster9=0.241842,RFX1_cluster9=0.348246,HIST1H2BD_cluster9=0.591978,ZNF513_cluster9=0.332432,HESX1_cluster9=-0.262919,KLF2_cluster9=0.212317,SIRT1_cluster9=0.660591,PLD1_cluster9=0.13154,CTDSP2_cluster9=-0.195904,TXK_cluster9=0.619697,PCIF1_cluster9=0.533764,PAN3_cluster9=0.578349
Var=GLTPD1_cluster9	Wt=-1	CondVar=4.49096e-10	CondBias=1.42712e-10	CondWt=RXRA_cluster9=-0.624998,EPHB4_cluster9=-0.435464,PBX1_cluster9=1.13142,ZNF154_cluster9=0.746249,ZNF343_cluster9=-0.599439,PDP2_cluster9=-0.421548,ARID3B_cluster9=0.732585
Var=DVL1_cluster9	Wt=-1	CondVar=7.84276e-10	CondBias=2.13753e-10	CondWt=KHDRBS2_cluster9=-0.460009,CLOCK_cluster9=1.12024,IRF2BP1_cluster9=0.521291,PDP2_cluster9=-0.506412,USF1_cluster9=0.627931,ENPP2_cluster9=0.994897
Var=AURKAIP1_cluster9	Wt=-1	CondVar=0.214168	CondBias=0.741026	CondWt=DUSP11_cluster9=0.207309,SMARCB1_cluster9=0.242235,DAZAP2_cluster9=-0.227579,KHSRP_cluster9=0.245544,TRIP6_cluster9=0.274658,NFE2L1_cluster9=-0.309748,CREB3_cluster9=0.224863,SP1_cluster9=-0.0441725,ANKRA2_cluster9=-0.317423,ZBTB1_cluster9=-0.387166
Var=CCNL2_cluster9	Wt=-1	CondVar=0.00383974	CondBias=0.0134702	CondWt=ZNF275_cluster9=0.0642205,PURA_cluster9=0.0749363,TXK_cluster9=0.554148,ZNF565_cluster9=0.410302,LATS2_cluster9=-0.0614751,PPP2R3A_cluster9=-0.828745,HDAC9_cluster9=0.700298,JAK2_cluster9=0.253175,PRDM8_cluster9=0.569989,IGF1R_cluster9=0.693201,XRCC3_cluster9=0.189722,ZNF550_cluster9=0.288399,TAF1_cluster9=-0.134351,CYP2R1_cluster9=-0.263272,KLF3_cluster9=-0.0337461,AIP_cluster9=0.0422965,ZNF267_cluster9=0.127996,MTM1_cluster9=0.607358,ZNF142_cluster9=-0.493935,ZNF117_cluster9=-0.0794211,E4F1_cluster9=0.670639,TET2_cluster9=-0.332333,RBM15_cluster9=0.104568,KLF12_cluster9=-0.324507,TP53BP2_cluster9=-0.510302,RXRA_cluster9=0.302482,ZFP57_cluster9=0.389585,STK35_cluster9=-0.277658,PPP6R1_cluster9=0.571457,CENPB_cluster9=-0.316383,PDK1_cluster9=-0.0861139,CNEP1R1_cluster9=0.244355,ZHX2_cluster9=-0.479006,PPIP5K1_cluster9=0.342278,ZNF394_cluster9=-0.0358171,LRRK1_cluster9=-0.0767261,AKAP11_cluster9=-0.276428,ZNF234_cluster9=-0.296132,ZNF568_cluster9=0.0758066,PPP3CB_cluster9=0.0933907,SFPQ_cluster9=-0.0257704,ZNF555_cluster9=0.510971,PINK1_cluster9=0.381191,NPAS1_cluster9=0.232334,FKBP1B_cluster9=0.224134,LYN_cluster9=0.0647671,RBM15B_cluster9=0.0424359,NLK_cluster9=0.472513
Var=RP4-758J18.2_cluster9	Wt=-1	CondVar=1.29178e-09	CondBias=7.04112e-10	CondWt=CLOCK_cluster9=-0.618231,FOXJ2_cluster9=0.986492,RGS14_cluster9=0.74554,KLF12_cluster9=-0.692624,ZNF585B_cluster9=-0.445806,SFMBT1_cluster9=0.533053,ZNF559_cluster9=-0.616068,PDP2_cluster9=-0.211285,ZFP64_cluster9=0.57739,ZNF45_cluster9=0.681118,TAF1A_cluster9=0.626679,AMHR2_cluster9=0.845634,ARNTL_cluster9=-0.392111,STK35_cluster9=0.508886
Var=ANKRD65_cluster9	Wt=-1	CondVar=0.00899008	CondBias=-0.0540776	CondWt=ZHX2_cluster9=-0.239592,STK10_cluster9=0.101537,HOXB3_cluster9=-0.750726,MYNN_cluster9=0.0857518,ZNF599_cluster9=0.10147,NRL_cluster9=0.976938,CRTC1_cluster9=0.77175,NTPCR_cluster9=0.0517825,ELF2_cluster9=-0.0281515,BPGM_cluster9=0.0805322,ARID3B_cluster9=-0.0958048,RB1_cluster9=0.121001,SUPT7L_cluster9=-0.0717108,PIGG_cluster9=0.269131,ZNF493_cluster9=0.101519,SIRT6_cluster9=-0.0789905,RECQL4_cluster9=0.059883
Var=VWA1_cluster9	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=ATAD3C_cluster9	Wt=-1	CondVar=1.09174e-09	CondBias=3.51614e-10	CondWt=LEPR_cluster9=0.593024,MTMR10_cluster9=0.488959,FKBP15_cluster9=0.566112
Var=ATAD3B_cluster9	Wt=-1	CondVar=8.85109e-10	CondBias=1.75332e-10	CondWt=USF1_cluster9=-0.718318,ZNF283_cluster9=-0.278204,STRN_cluster9=-1.36486,LIMK1_cluster9=-0.518708,ENPP2_cluster9=0.673761,PDP2_cluster9=-0.62593,ZNF417_cluster9=0.714807,FRS2_cluster9=0.548105,TULP3_cluster9=0.899522,FKBP1B_cluster9=0.309308,ZNF397_cluster9=0.428775,UTF1_cluster9=0.756939,ZNF418_cluster9=0.4633,TOB1_cluster9=0.890012
Var=ATAD3A_cluster9	Wt=-1	CondVar=0.000118403	CondBias=-0.00815653	CondWt=STK35_cluster9=-0.0997864,RORA_cluster9=-0.153086,MYLK_cluster9=0.566484,ZFP90_cluster9=0.017051,ETV5_cluster9=0.0121319,HIVEP2_cluster9=-0.491112,SP1_cluster9=-0.524866,ZFP57_cluster9=0.369088,NCOA2_cluster9=0.715733,ZNF557_cluster9=-0.232944,ZNF502_cluster9=0.585557,MAP2K6_cluster9=-0.49384,ZNF586_cluster9=0.799043,ZNF234_cluster9=-0.107757,YBX1_cluster9=0.00511162,NRL_cluster9=0.190157,ZNF205_cluster9=-0.243261,ZNF222_cluster9=0.0214186,PYGO2_cluster9=0.721631,PER3_cluster9=-0.019397,SMAD3_cluster9=0.83284,HIST1H2BC_cluster9=0.556552,SLC37A4_cluster9=0.00585751,TCF7L2_cluster9=0.524846,ANKRD49_cluster9=-0.0358982,SIGLEC10_cluster9=0.344196,ZNF554_cluster9=-0.855931,ELK3_cluster9=0.38367,ITPK1_cluster9=0.303645,SCML1_cluster9=0.206394,NR6A1_cluster9=0.586119,LIMK1_cluster9=0.277624,ETV3_cluster9=0.0244463,KLF8_cluster9=-0.198764,ARNT_cluster9=-0.5306,FKBP1B_cluster9=-0.229552,FRS2_cluster9=-0.293056,ZNF343_cluster9=-0.1304,POLR1A_cluster9=-0.150885,PDP2_cluster9=-0.264213,HOXB2_cluster9=-0.0085016,ZNF41_cluster9=-0.690621,ZNF44_cluster9=0.24023,TP53BP1_cluster9=0.382025,ZNF563_cluster9=0.194491,MAPK11_cluster9=0.370524,ZNF519_cluster9=-0.214115,NR2C2_cluster9=0.102557,ATF5_cluster9=-0.000691273,CLOCK_cluster9=-0.16453
Var=SSU72_cluster9	Wt=-1	CondVar=0.242457	CondBias=0.469371	CondWt=MEIS1_cluster9=-0.382155,FKBP1A_cluster9=1.93519,KLF16_cluster9=0.245221,KLF2_cluster9=0.107265,SMARCD2_cluster9=-0.277615,ELK3_cluster9=-0.611835,KLF12_cluster9=0.63572,HDAC10_cluster9=-0.282287,ATF3_cluster9=-0.311907,KLF4_cluster9=-0.292579,KLF1_cluster9=0.59823
Var=AL645728.1_cluster9	Wt=-1	CondVar=4.65557e-10	CondBias=9.95284e-11	CondWt=CDC14A_cluster9=-1.05994,TOB1_cluster9=1.07015,ZHX2_cluster9=0.788636,MITF_cluster9=0.874611
Var=C1orf233_cluster9	Wt=-1	CondVar=1.22597e-09	CondBias=-2.35299e-10	CondWt=AFF3_cluster9=5.85141e-09,ZNF200_cluster9=-1.31484,LRRK1_cluster9=-9.29969e-09,PDPR_cluster9=7.2569e-09,ULK2_cluster9=1.06196,ZNF573_cluster9=0.899158,PLK2_cluster9=-0.976112,PPP1R9A_cluster9=-0.412131,ZNF155_cluster9=0.305196,ZNF418_cluster9=0.761338,ZSWIM4_cluster9=1.19955,ZNF253_cluster9=0.682049,FANK1_cluster9=1.24302,EIF2AK3_cluster9=-1.21998,NR1D2_cluster9=0.689351,BTRC_cluster9=-0.199337,SIGLEC10_cluster9=-0.581596
Var=RP11-345P4.9_cluster9	Wt=-1	CondVar=7.07067e-10	CondBias=-3.22947e-09	CondWt=FKBP15_cluster9=-0.270546,PTRF_cluster9=0.225061,CREBL2_cluster9=-0.68586,POLR1A_cluster9=0.362804,ZBTB33_cluster9=-0.11112,ZNF592_cluster9=-0.347899,PPP2R5B_cluster9=-0.577975,XRCC3_cluster9=-0.222803,KLF11_cluster9=0.650231,HOXB3_cluster9=-0.511911,ZNF382_cluster9=0.298255,DNAJC6_cluster9=0.687371,AMHR2_cluster9=-0.980349,AKAP11_cluster9=0.125898,FKBP1B_cluster9=-3.50164e-07,CRTC1_cluster9=0.753388,ZNF417_cluster9=-0.672039,STAT5B_cluster9=5.47062e-07,IL16_cluster9=1.10248,ZNF513_cluster9=0.563883,ZNF133_cluster9=0.465317,ARNTL_cluster9=0.27732,PDPK1_cluster9=-2.94718e-08,MAML1_cluster9=8.76784e-08,ZFPM1_cluster9=-0.439369
Var=MIB2_cluster9	Wt=-1	CondVar=1.00661e-09	CondBias=4.29075e-08	CondWt=ZNF211_cluster9=2.50695e-07,ZNF143_cluster9=2.28782e-07,BARD1_cluster9=-1.97322e-08,PPP2R5B_cluster9=-5.63106e-10,TRIM21_cluster9=-4.64851e-07,FKBP1B_cluster9=-1.02904e-06,ZNF283_cluster9=-0.499712,MYC_cluster9=-6.81922e-08,TAB1_cluster9=0.750378,ZNF420_cluster9=0.776295,PDP2_cluster9=-0.785689,PPP1R9A_cluster9=1.42771,CRY1_cluster9=0.679566,ZZZ3_cluster9=1.12197e-07,PHF23_cluster9=-0.885141,E4F1_cluster9=-1.33525e-07,ZNF577_cluster9=0.656026,NFRKB_cluster9=-4.87746e-08,NEK8_cluster9=0.464895,ZNF554_cluster9=0.585232,KLF5_cluster9=0.552027,ERF_cluster9=3.86523e-08,ZNF417_cluster9=-0.523054,RIPK1_cluster9=2.23455e-08,CDK20_cluster9=0.51916,INPP5E_cluster9=0.600308,ZHX2_cluster9=0.482273,ZNF215_cluster9=0.444148,ZNF155_cluster9=-1.05726
Var=MMP23B_cluster9	Wt=-1	CondVar=7.40365e-10	CondBias=-1.42393e-09	CondWt=ZNF407_cluster9=-0.629708,ZFPM1_cluster9=0.580956,PHC1_cluster9=1.42123,TET1_cluster9=-0.510005,ZNF577_cluster9=-0.697102,PPP2R3A_cluster9=1.10828,POLR1A_cluster9=-0.695563,ANKRD49_cluster9=0.868981,ZNF133_cluster9=-0.654182
Var=CDK11B_cluster9	Wt=-1	CondVar=6.41327e-10	CondBias=2.28872e-08	CondWt=IL16_cluster9=-2.85532e-07,ZNF345_cluster9=0.825159,E2F5_cluster9=0.870615,CDC14A_cluster9=0.76292,DYRK2_cluster9=-0.733319,ZNF334_cluster9=0.746261,ZNF615_cluster9=0.680804,E2F8_cluster9=-0.674274,ZNF417_cluster9=0.615644,HOXA4_cluster9=-0.434663,ENPP5_cluster9=0.571637,SNAPC1_cluster9=-1.5677e-07,EAF1_cluster9=0.693113,DAPK1_cluster9=3.13538e-07
