Var=PUSL1_cluster9	Wt=-1	CondVar=9.62839e-10	CondBias=1.24942e-08	CondWt=WDR81_cluster9=0.601318,ZNF557_cluster9=0.61208,ZBTB22_cluster9=-1.88683e-07,ZNF14_cluster9=-0.612412,ZNF646_cluster9=-1.06847e-07,NR2C1_cluster9=-3.06306e-07,MELK_cluster9=0.744962,PASK_cluster9=-0.711929,ZNF449_cluster9=-0.179041,PPP2R3A_cluster9=0.599959,ARNTL_cluster9=-0.814066,INPP4B_cluster9=-0.938536,LAT_cluster9=-1.00544,EIF2AK3_cluster9=0.589874,ZNF473_cluster9=-0.635534,DAB2_cluster9=-1.01634,ZNF208_cluster9=0.674596,MITF_cluster9=-0.435098,DENND4A_cluster9=0.721781,CDC14A_cluster9=0.74571,E2F2_cluster9=1.50103e-07
Var=CPSF3L_cluster9	Wt=-1	CondVar=0.328475	CondBias=0.396772	CondWt=RFX1_cluster9=0.231279,MYC_cluster9=-0.137976
Var=GLTPD1_cluster9	Wt=-1	CondVar=3.46623e-10	CondBias=9.93972e-11	CondWt=CCDC8_cluster9=0.668398,HOXA4_cluster9=0.676485,ZNF208_cluster9=0.759525,ZNF449_cluster9=-0.688233,KLF5_cluster9=0.715041
Var=DVL1_cluster9	Wt=-1	CondVar=3.63555e-10	CondBias=2.89659e-10	CondWt=FBXL19_cluster9=-0.519041,HIST1H2BJ_cluster9=-0.571846,ENPP2_cluster9=0.994897,USF1_cluster9=1.06069
Var=AURKAIP1_cluster9	Wt=-1	CondVar=0.259168	CondBias=0.495749	CondWt=MAML3_cluster9=0.363296,EGR1_cluster9=-0.28088,USF2_cluster9=-0.299725,NEK2_cluster9=-0.517366,SP1_cluster9=-0.100881,HIPK2_cluster9=-0.326914,HMGB2_cluster9=0.0632244,RUVBL1_cluster9=0.282717,KLF8_cluster9=-0.457568
Var=CCNL2_cluster9	Wt=-1	CondVar=0.0119995	CondBias=0.0124291	CondWt=ESRRA_cluster9=0.0965281,NR2C2_cluster9=0.112489,ERCC3_cluster9=-0.112164,ZNF416_cluster9=-0.246377,CHD1_cluster9=-0.146251,TP53_cluster9=-0.143643,ZNF354C_cluster9=0.613444,ATM_cluster9=0.84975,HDAC8_cluster9=-0.152981,NR4A1_cluster9=-0.340879,SREBF1_cluster9=0.269304,PHF3_cluster9=0.112001,ZNF345_cluster9=-0.0227836,ZFP57_cluster9=0.599101,PIK3R1_cluster9=0.18762,ZBTB17_cluster9=0.380833,ARID3B_cluster9=0.138926,HDAC5_cluster9=0.418027,HDAC9_cluster9=0.415783,POLR2H_cluster9=-0.202106,ZNF16_cluster9=0.501924,ITPK1_cluster9=-0.23111,ZNF326_cluster9=-0.0624057,IGBP1_cluster9=-0.0657423,HES6_cluster9=-0.145986,PIM1_cluster9=0.204662,ZNF154_cluster9=0.480439,HTATIP2_cluster9=-0.0835419,KLF5_cluster9=0.473161,ABL2_cluster9=0.104715,PIGN_cluster9=1.17907,ZNF397_cluster9=0.575405,KSR1_cluster9=0.577636,NFYC_cluster9=0.185333,E2F2_cluster9=0.154171,ETS2_cluster9=0.122831,UBTF_cluster9=0.181873,ZNF626_cluster9=-0.244508,EPHB6_cluster9=0.189226,CLK4_cluster9=-0.312479,E2F6_cluster9=-0.34915,ANKRA2_cluster9=-0.239074,ERG_cluster9=0.114207,GNS_cluster9=-0.380859,ZNF644_cluster9=0.209798,TP53BP2_cluster9=-0.0835433,ZNF493_cluster9=-0.108579,ID3_cluster9=-0.284742,ETV6_cluster9=0.0799743,ZNF446_cluster9=0.795721
Var=RP4-758J18.2_cluster9	Wt=-1	CondVar=4.80876e-10	CondBias=1.32494e-11	CondWt=TESK2_cluster9=0.538434,LAT_cluster9=-0.79084,FOXJ2_cluster9=0.986492,ZBTB6_cluster9=0.504355,SH2D4A_cluster9=0.555472,TYRO3_cluster9=-0.417669,MIXL1_cluster9=0.567274,CDK18_cluster9=0.64123,ZNF398_cluster9=0.669916
Var=ANKRD65_cluster9	Wt=-1	CondVar=8.40424e-10	CondBias=8.69284e-11	CondWt=LATS1_cluster9=1.29876,DPF1_cluster9=-1.1193,LAT_cluster9=-1.45703,ICK_cluster9=-0.456063,PPP1R37_cluster9=1.03085,ZNF671_cluster9=-1.03491
Var=VWA1_cluster9	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=ATAD3C_cluster9	Wt=-1	CondVar=7.45943e-10	CondBias=-2.28185e-10	CondWt=CTDSPL_cluster9=4.27578e-09,PPP2R3B_cluster9=2.80893e-09,INPP4B_cluster9=1.65192,TBX6_cluster9=0.576845,GTF2E1_cluster9=0.529732,ZNF582_cluster9=-0.372343,TRERF1_cluster9=-0.771499,FAM109A_cluster9=-1.0632,ARSB_cluster9=1.11936
