Var=PUSL1_cluster8	Wt=-1	CondVar=0.0205214	CondBias=-0.00613364	CondWt=ZFP1_cluster8=0.336563,STAT4_cluster8=0.0561781,PHF8_cluster8=0.0571625,ZNF596_cluster8=0.32086,BUB1B_cluster8=0.646812,FBXO15_cluster8=-0.426846,PTPN9_cluster8=0.14206,KHDRBS2_cluster8=0.618664,FCGR2A_cluster8=0.809659,ZNF613_cluster8=-0.382649,HIVEP2_cluster8=0.573879,ECM1_cluster8=0.540632,MCM8_cluster8=0.107351,MTF1_cluster8=-0.314115,PEAK1_cluster8=0.603196,HIST1H2BJ_cluster8=-1.37607,PTPN23_cluster8=0.432198,E2F2_cluster8=-0.0755831,PER3_cluster8=-0.163419,ZNF155_cluster8=0.299704,CEBPA_cluster8=-0.190917,PPARA_cluster8=0.0819849,GMEB2_cluster8=0.105867,NR2F6_cluster8=-0.112967,POLR1A_cluster8=0.44768,PHLPP2_cluster8=0.694555,ANKRD52_cluster8=0.691697,ZNF19_cluster8=0.629798,MTOR_cluster8=-0.589232,FOXP4_cluster8=0.307918,ZNF398_cluster8=0.195058,ZNF117_cluster8=-0.792184,ZNF627_cluster8=0.502168
Var=CPSF3L_cluster8	Wt=-1	CondVar=0.270673	CondBias=0.149638	CondWt=PPP1R21_cluster8=0.297379,CCDC8_cluster8=0.287683,RFX1_cluster8=-0.133738,ZNF227_cluster8=0.345504,CTDSP2_cluster8=0.237465,SHOC2_cluster8=0.205166
Var=GLTPD1_cluster8	Wt=-1	CondVar=0.0751675	CondBias=0.00540814	CondWt=SRCAP_cluster8=0.16754,ZNF707_cluster8=0.214055,ZFP30_cluster8=-0.595265,PTPDC1_cluster8=0.401026,PIK3R2_cluster8=0.716743,ZNFX1_cluster8=0.131865,ELK1_cluster8=0.114478,CDK18_cluster8=0.700734,GABPA_cluster8=-0.213003,BHLHE40_cluster8=-0.0738724,ZNF285_cluster8=0.626371,NEK7_cluster8=-0.0766393,ZNF205_cluster8=0.770845,HLX_cluster8=0.221301,ZNF449_cluster8=0.381329,ECM1_cluster8=0.62145,PARD3_cluster8=-0.0858309,CTBP2_cluster8=0.122055
Var=DVL1_cluster8	Wt=-1	CondVar=2.14743e-10	CondBias=4.21385e-11	CondWt=CNEP1R1_cluster8=1.07118
Var=AURKAIP1_cluster8	Wt=-1	CondVar=0.3187	CondBias=0.46473	CondWt=SP3_cluster8=0.137943,TIMELESS_cluster8=0.220199,SP1_cluster8=-0.186115
Var=CCNL2_cluster8	Wt=-1	CondVar=0.134646	CondBias=0.115511	CondWt=ENSA_cluster8=-0.138988,GEMIN4_cluster8=0.227603,NOTCH4_cluster8=0.243269,PTPN23_cluster8=0.540175,TARBP2_cluster8=0.225724,CDC25B_cluster8=0.241126,ZNF174_cluster8=0.252151,NR2C1_cluster8=0.122971,PPP2R2D_cluster8=0.210644,ZNF296_cluster8=0.398362
Var=RP4-758J18.2_cluster8	Wt=-1	CondVar=0.0908691	CondBias=-0.0522611	CondWt=ZNF19_cluster8=0.47032,ICK_cluster8=0.405153,PHLPP1_cluster8=0.302675,TGIF1_cluster8=0.130051,TP53_cluster8=0.116309,RAD54B_cluster8=0.320454,ZNF675_cluster8=0.181465,ZHX2_cluster8=0.550701,MTA2_cluster8=0.218366,ZDHHC1_cluster8=0.562945,RIOK1_cluster8=0.145008,PPP1R3F_cluster8=0.205984,ZNF510_cluster8=0.281993,ZNF449_cluster8=0.274019,HIST1H2BJ_cluster8=-0.514745,PEAK1_cluster8=0.5342
Var=ANKRD65_cluster8	Wt=-1	CondVar=0.0889533	CondBias=-0.110014	CondWt=IRF2BP1_cluster8=0.317562,PPFIA3_cluster8=0.180434,ZNF343_cluster8=-0.539646,ELF1_cluster8=0.0755917,KLF8_cluster8=0.183126,PPME1_cluster8=0.318352,ENPP5_cluster8=0.277125,HDAC11_cluster8=1.23864,ZNF263_cluster8=0.159547,PRDM8_cluster8=0.673924,BTAF1_cluster8=-0.255446,KSR1_cluster8=0.261278,ZNF558_cluster8=-0.224602,BCL6_cluster8=0.219139,ZNF688_cluster8=0.193497,STK40_cluster8=0.182731,HDAC4_cluster8=-0.281725,E2F2_cluster8=-0.090396,EEPD1_cluster8=0.199383,PDCD11_cluster8=0.270675
Var=VWA1_cluster8	Wt=-1	CondVar=0.183403	CondBias=-0.00815942	CondWt=FAM109A_cluster8=1.00306,CHP1_cluster8=0.301097,LRRK1_cluster8=0.195445,SMG7_cluster8=0.316411,MTOR_cluster8=0.556676,FLI1_cluster8=-0.135098,SMAD2_cluster8=0.215684,CCNF_cluster8=-0.91221,ZNF10_cluster8=0.515118
Var=ATAD3C_cluster8	Wt=-1	CondVar=0.00771519	CondBias=-0.0510257	CondWt=ZNF420_cluster8=0.0698751,ETV5_cluster8=0.0607683,PLK2_cluster8=0.0644781,EED_cluster8=0.0628957,ZNF449_cluster8=0.155849,GEMIN4_cluster8=0.0572719,RBM7_cluster8=0.0385842,PKN3_cluster8=0.140888,ZFP64_cluster8=-0.0653675,GAK_cluster8=0.0517854,ZHX1_cluster8=0.0415079,SIRPA_cluster8=-0.0581227,STYX_cluster8=0.0575692,GABPA_cluster8=-0.0411433,PPP2R5A_cluster8=0.0606068,PLD6_cluster8=0.0725097,SP1_cluster8=0.0996373,ZNF227_cluster8=-0.0796328,ZNF419_cluster8=-0.0799521
