Var=UBE2J2_cluster9	Wt=-1	CondVar=1.61862e-09	CondBias=4.67707e-08	CondWt=ARSG_cluster9=0.156601,PBX4_cluster9=0.0845649,MKL2_cluster9=0.854392,SCML2_cluster9=0.650661,ZNF212_cluster9=0.584202,ZNF431_cluster9=0.670613,ZNF253_cluster9=-0.551003,AEBP1_cluster9=0.508347,RB1_cluster9=-8.75254e-08,ZNF398_cluster9=-0.365805,TSKS_cluster9=0.531893,ATF7IP_cluster9=-1.95696e-07,GABPB2_cluster9=1.83483,ARSB_cluster9=0.473097,TFEB_cluster9=1.11032e-06,ZNF555_cluster9=1.08355,CDK20_cluster9=0.444316,LDB1_cluster9=0.705082,PHLPP2_cluster9=0.676994,ZNF449_cluster9=-0.45473,ZNF585B_cluster9=0.142598,MINPP1_cluster9=4.7445e-08,DPF1_cluster9=-0.81258,RBAK_cluster9=-0.137976,ZNF30_cluster9=-0.427264,ZNF606_cluster9=-0.604708,USF1_cluster9=1.312e-06,ZFP57_cluster9=0.765314,POLR3B_cluster9=0.452613,TEC_cluster9=-0.721988,EIF2AK3_cluster9=0.43881,ZNF354A_cluster9=1.02664e-07,RRP1B_cluster9=-8.6799e-08,ZNF582_cluster9=-9.60019e-07,RGS14_cluster9=0.575722,SMG6_cluster9=1.25017e-07,ZNF334_cluster9=0.542625,CCDC8_cluster9=-0.441628,KDM3B_cluster9=0.6749,CDK1_cluster9=-3.76327e-08,ZNF649_cluster9=-0.52628,TFDP1_cluster9=-5.09278e-08,TOB1_cluster9=0.560078,PLK2_cluster9=-1.19872,ERCC3_cluster9=-4.69479e-08,TBCK_cluster9=7.9482e-08,CD244_cluster9=6.72449e-08,ULK2_cluster9=0.22376,ZBTB24_cluster9=7.83852e-08,BRSK1_cluster9=-2.21519e-07
Var=ACAP3_cluster9	Wt=-1	CondVar=8.62876e-10	CondBias=3.65163e-09	CondWt=ZNF671_cluster9=3.31554e-09,ULK2_cluster9=7.59135e-09,PCP2_cluster9=0.663571,RFX1_cluster9=0.926257,JDP2_cluster9=4.21415e-11,SBF1_cluster9=-0.82095,MTMR12_cluster9=0.635993,ZFPM1_cluster9=0.734018,HIVEP3_cluster9=1.74565e-09,ZNF559_cluster9=-1.05542,ANKRD42_cluster9=0.789559,LIMK1_cluster9=0.724162,TFCP2_cluster9=1.0377,ZNF589_cluster9=-0.50382,SGPP1_cluster9=-0.831201,PPP5D1_cluster9=0.652973
Var=PUSL1_cluster9	Wt=-1	CondVar=0.0437995	CondBias=-0.27621	CondWt=FOSL1_cluster9=0.174994,MAPK11_cluster9=0.66882,KIT_cluster9=0.137374,PHF13_cluster9=0.402883,ZBTB26_cluster9=0.2106,STK10_cluster9=-0.133677,E2F2_cluster9=0.171051,ESRRA_cluster9=0.450804,HMGN1_cluster9=0.949257,FOXO3_cluster9=-0.0752047,MAX_cluster9=-0.0932221,SNAPC3_cluster9=-0.2166,ZNF566_cluster9=-0.354722,CHP1_cluster9=-0.189853,MTMR2_cluster9=0.811208,MYBBP1A_cluster9=0.275412,NR2C1_cluster9=0.261782,CRTC1_cluster9=0.648953,ITPK1_cluster9=-0.34233,PQBP1_cluster9=0.184982
Var=CPSF3L_cluster9	Wt=-1	CondVar=0.164247	CondBias=0.0539515	CondWt=LAT_cluster9=-0.630181,E2F2_cluster9=0.185426,ULK1_cluster9=0.352749,CBFA2T3_cluster9=0.272129,SRF_cluster9=0.270339,ZNF135_cluster9=0.414873,MEF2A_cluster9=0.31179,POU2F1_cluster9=0.288502,HESX1_cluster9=0.0398793,INPPL1_cluster9=0.582455
Var=GLTPD1_cluster9	Wt=-1	CondVar=2.79397e-10	CondBias=-7.51957e-11	CondWt=NOTCH2_cluster9=-3.63103e-08,ZNF154_cluster9=0.746249,PURA_cluster9=-3.22156e-09,ZNF573_cluster9=0.407288,PPP1R3B_cluster9=1.45796e-08,MKL2_cluster9=0.426495,PPP6R1_cluster9=2.40737e-09,PPFIA3_cluster9=-3.1023e-08,STRN3_cluster9=3.94551e-08,ARSG_cluster9=-0.572195,CDK18_cluster9=-0.749439
Var=DVL1_cluster9	Wt=-1	CondVar=3.76845e-10	CondBias=2.52765e-10	CondWt=DYRK2_cluster9=-0.572456,FBXL19_cluster9=-0.62333,ENPP2_cluster9=0.994897,USF1_cluster9=1.06069
Var=AURKAIP1_cluster9	Wt=-1	CondVar=0.32247	CondBias=-0.656076	CondWt=CBL_cluster9=0.342263,SP1_cluster9=0.103703,PTMA_cluster9=0.718692,SP3_cluster9=0.209556,HIRA_cluster9=0.275943
Var=CCNL2_cluster9	Wt=-1	CondVar=0.11166	CondBias=-0.0867823	CondWt=SEMA4D_cluster9=0.262621,ZNF154_cluster9=0.558727,CD244_cluster9=0.292114,ZBTB5_cluster9=0.615792,ZNF446_cluster9=0.521153,SRPK1_cluster9=0.175811,E4F1_cluster9=0.697076,E2F2_cluster9=0.185676,AKAP11_cluster9=-0.644285,PRDM16_cluster9=0.429624,STK35_cluster9=-0.30655,ZNF644_cluster9=0.299052,DDB2_cluster9=0.237901,MECP2_cluster9=0.347977,ZNF384_cluster9=-0.24756
Var=RP4-758J18.2_cluster9	Wt=-1	CondVar=5.61064e-10	CondBias=-2.32262e-09	CondWt=TAF4_cluster9=-0.319999,SFMBT1_cluster9=0.376926,ZNF354A_cluster9=0.693625,ZNF577_cluster9=0.212951,PBX3_cluster9=0.610135,TAF1A_cluster9=0.626678,ZNF45_cluster9=0.58529,PDP2_cluster9=-0.360684,PPP1R3B_cluster9=-0.231601,TXK_cluster9=-0.853448,ZNF44_cluster9=0.251966,ZNF84_cluster9=-0.389586,EPOR_cluster9=-0.731399,TESK2_cluster9=0.315407,SCML1_cluster9=-0.532229,MIXL1_cluster9=0.16615,ICAM1_cluster9=-0.47174,CSRNP2_cluster9=-0.249602,RBAK_cluster9=-0.610034,SS18L1_cluster9=-0.0431269
Var=ANKRD65_cluster9	Wt=-1	CondVar=7.4714e-10	CondBias=2.78367e-09	CondWt=GABPB2_cluster9=1.04689,PLK2_cluster9=-0.967246,DHX37_cluster9=-1.07418e-08,NRL_cluster9=0.958476,ZNF599_cluster9=-1.12866e-07,HDAC9_cluster9=-1.07644,ZNF564_cluster9=0.796186,ESRRA_cluster9=3.22527e-09,ULK2_cluster9=-1.16123e-08,KDM3B_cluster9=1.31472
Var=VWA1_cluster9	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=ATAD3C_cluster9	Wt=-1	CondVar=7.43646e-10	CondBias=1.43466e-10	CondWt=ARSB_cluster9=1.11936,TAF4_cluster9=0.826845,CCDC8_cluster9=-1.0449,BTBD11_cluster9=-1.13686,ZBTB10_cluster9=1.45449
Var=ATAD3B_cluster9	Wt=-1	CondVar=1.15094e-09	CondBias=7.50497e-11	CondWt=DNAJC6_cluster9=0.349325,TULP3_cluster9=0.899522,UTF1_cluster9=0.756939,ZNF397_cluster9=1.04743,PPARA_cluster9=0.259244,PRG2_cluster9=-1.58656,ZNF446_cluster9=0.85958,USF1_cluster9=-0.718318,ENPP2_cluster9=0.673761,FBXL19_cluster9=-0.778166,ZNF142_cluster9=1.00566,ZNF175_cluster9=-1.09816,TOB1_cluster9=0.890012,BRF2_cluster9=2.35943e-09
