Var=GLTPD1_cluster8	Wt=-1	CondVar=0.123114	CondBias=-0.0152606	CondWt=DYRK3_cluster8=0.375192,PDK1_cluster8=0.411248,ZNF583_cluster8=0.310247,CDK18_cluster8=0.237432,ZNF449_cluster8=0.336967,PPIP5K1_cluster8=0.382835,ARAF_cluster8=0.180172,ZNF285_cluster8=0.545842,HIPK3_cluster8=0.185256
Var=DVL1_cluster8	Wt=-1	CondVar=2.09639e-10	CondBias=4.0264e-11	CondWt=PPP2R5B_cluster8=1.04709
Var=AURKAIP1_cluster8	Wt=-1	CondVar=0.323063	CondBias=0.508464	CondWt=SP1_cluster8=-0.153472
Var=CCNL2_cluster8	Wt=-1	CondVar=0.119656	CondBias=-0.0357844	CondWt=PTPN23_cluster8=0.412138,NEK2_cluster8=0.286029,HIST1H2BC_cluster8=0.221419,HIVEP1_cluster8=0.334494,PKNOX1_cluster8=0.187243,ESRRA_cluster8=0.323867,PIM3_cluster8=0.097523,NR2C1_cluster8=0.164027,ARNTL_cluster8=0.154416,ANKS1A_cluster8=0.362533,E2F2_cluster8=0.274091,PPP1R14A_cluster8=1.25769,ZNF432_cluster8=0.31272
Var=RP4-758J18.2_cluster8	Wt=-1	CondVar=0.10807	CondBias=-0.0170149	CondWt=TAF13_cluster8=0.33914,ZHX2_cluster8=0.272817,PAX8_cluster8=0.659416,ANKRD6_cluster8=0.218013,ZNF19_cluster8=0.448243,AKT3_cluster8=0.232875,ZNF184_cluster8=0.13836,PHLPP1_cluster8=0.134167,MTA1_cluster8=0.174469,AKAP11_cluster8=0.301225,MED31_cluster8=0.257577,ZNF449_cluster8=0.263712
Var=ANKRD65_cluster8	Wt=-1	CondVar=0.130538	CondBias=-0.050861	CondWt=ZAP70_cluster8=0.232127,ZNF263_cluster8=0.228157,PRDM8_cluster8=0.286428,UBLCP1_cluster8=0.260393,TAF13_cluster8=0.36055,STRN_cluster8=-0.338814,ZNF200_cluster8=0.240302,GABPA_cluster8=0.495285,PPFIA3_cluster8=0.176607,BCL6_cluster8=0.302411,DOLPP1_cluster8=0.47039
Var=VWA1_cluster8	Wt=-1	CondVar=0.20342	CondBias=-0.00417408	CondWt=ZNF10_cluster8=0.252265,SP4_cluster8=0.369716,ZNF570_cluster8=0.641183,TESK1_cluster8=1.46482,FMR1_cluster8=0.358081,EXOSC3_cluster8=0.246508
Var=ATAD3C_cluster8	Wt=-1	CondVar=0.0174544	CondBias=-0.0228751	CondWt=ZNF19_cluster8=0.291958,ASH2L_cluster8=0.0590189,ZFP1_cluster8=0.21545,PPP2R3A_cluster8=0.364212,SMAD5_cluster8=0.0703712,HDAC11_cluster8=0.195958,SREBF1_cluster8=-0.649343,ARID3B_cluster8=0.303613,RIOK2_cluster8=0.0885002,AFF3_cluster8=-0.116572,CREB5_cluster8=0.415799,ZFP30_cluster8=-0.226062,ZNF117_cluster8=0.556571,LEPR_cluster8=-0.217983,HIVEP1_cluster8=-0.379133,CDK7_cluster8=-0.0891627,PKN3_cluster8=0.82699,IKZF2_cluster8=1.06469,PLK1_cluster8=-0.442511,LRP5_cluster8=0.145854,TSKS_cluster8=0.334647,ZDHHC15_cluster8=-0.103709,SHPRH_cluster8=0.0900396,RAI1_cluster8=0.0827708
Var=ATAD3B_cluster8	Wt=-1	CondVar=0.0128963	CondBias=-0.015701	CondWt=ELK4_cluster8=0.0739438,SIK2_cluster8=-0.140983,ZNF189_cluster8=-0.174667,SUV39H1_cluster8=-0.268621,SLC2A1_cluster8=0.078826,MARK2_cluster8=0.420345,TFE3_cluster8=0.234091,ZNF570_cluster8=0.680913,PIGN_cluster8=0.0733956,MBD3_cluster8=0.0641892,NCOA6_cluster8=0.103535,FOXP4_cluster8=0.130051,PDK1_cluster8=0.510197,ZNF416_cluster8=0.667873,KAT2A_cluster8=0.0528656,PPAPDC3_cluster8=-0.0850942,DNAJC6_cluster8=0.84945,ETV5_cluster8=-0.0432826,ANKRD42_cluster8=-0.436202,FBXL19_cluster8=-0.351102,ZNF410_cluster8=0.355117,ZNF175_cluster8=-0.0590321,YEATS2_cluster8=0.13495,ZNF641_cluster8=0.103926,ZNF615_cluster8=-0.092505
Var=ATAD3A_cluster8	Wt=-1	CondVar=0.0979979	CondBias=-0.0329851	CondWt=MAFG_cluster8=0.119623,PPP2R5C_cluster8=0.114281,ANKRD6_cluster8=0.188022,IRF2BP1_cluster8=0.394107,DNAJC6_cluster8=0.643137,MELK_cluster8=0.225455,ZBTB25_cluster8=0.16666,FOXK2_cluster8=0.34479,CDK17_cluster8=0.147945,ZNF570_cluster8=0.515748,ZNF34_cluster8=0.216021,ZNF234_cluster8=0.169914
Var=SSU72_cluster8	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=AL645728.1_cluster8	Wt=-1	CondVar=0.00125611	CondBias=-0.00319557	CondWt=ZNF496_cluster8=-0.0427035,UBASH3B_cluster8=0.014269,ZNF285_cluster8=0.149348,RBAK_cluster8=-0.0316458,ZNF250_cluster8=0.0357932,TRIM25_cluster8=-0.0421219,LRP5_cluster8=0.0132788,ZNF416_cluster8=-0.114676,PPP1R12B_cluster8=0.0336879,PHLPP1_cluster8=0.0231566,ZNF2_cluster8=0.827678,POLR3A_cluster8=0.0666773,PAX8_cluster8=-1.65849,TESK1_cluster8=1.20842,PLK1_cluster8=0.18892,PER2_cluster8=-0.032265,E2F5_cluster8=-1.17661,PCP2_cluster8=1.14403,MEF2D_cluster8=0.0213942,FER_cluster8=-0.0366137,ZNF570_cluster8=1.11895,HMGN4_cluster8=0.0558016,MAFK_cluster8=0.0472045,PIK3R2_cluster8=-0.281812,CEBPD_cluster8=-0.5235,ZNF441_cluster8=-0.256473,STK11_cluster8=0.364186,CDC25C_cluster8=-0.0984333,JUND_cluster8=0.0125961,IKZF2_cluster8=-0.0540147,DLGAP5_cluster8=-0.038284,MYLK_cluster8=0.0820512,NFYA_cluster8=-0.0252539,SMARCA1_cluster8=0.0547364,ZNF343_cluster8=-0.0636162,MITF_cluster8=-0.197869,PRDM4_cluster8=0.188698,SETD2_cluster8=-0.0179726,CREB5_cluster8=-0.279276,L3MBTL2_cluster8=-0.0180291,EPHB6_cluster8=0.0344462,ZNF626_cluster8=-0.0190759,IRF3_cluster8=0.00996505,ZNF589_cluster8=0.255196,CREBL2_cluster8=0.0233696
Var=C1orf233_cluster8	Wt=-1	CondVar=2.24947e-10	CondBias=3.20825e-11	CondWt=PIK3R2_cluster8=0.933367,ZBTB34_cluster8=-0.445871,ZNF589_cluster8=-0.42367
Var=RP11-345P4.9_cluster8	Wt=-1	CondVar=0.0753658	CondBias=-0.0266391	CondWt=CRY1_cluster8=0.149894,HDAC4_cluster8=0.280327,PPP1R3E_cluster8=0.119854,RNF141_cluster8=0.124108,FCGR2A_cluster8=0.790547,ROR2_cluster8=0.632926,ZNF695_cluster8=0.580421,LZTR1_cluster8=0.189165,MITF_cluster8=0.169933,CBX6_cluster8=-0.131371,ARNTL_cluster8=0.110418,ZNF563_cluster8=0.426617,HIST1H2BD_cluster8=0.172662,ID3_cluster8=0.323737,NRL_cluster8=0.227332,MYLK_cluster8=0.633101,PPP1R37_cluster8=0.495387
