Var=UBE2J2_cluster9	Wt=-1	CondVar=0.017894	CondBias=0.258959	CondWt=MXI1_cluster9=0.176944,KLF12_cluster9=0.545457,TRPM7_cluster9=0.432022,STRN3_cluster9=-0.334055,ZFYVE1_cluster9=0.37777,PPP6R2_cluster9=-0.330778,MATK_cluster9=0.123909,PHLPP2_cluster9=0.589967,NEK8_cluster9=0.381062,TOB1_cluster9=0.743365,CEBPG_cluster9=0.0828983,ZNF507_cluster9=0.749788,RXRA_cluster9=0.515091,TAF9B_cluster9=0.144233,L3MBTL4_cluster9=0.218627,ZZZ3_cluster9=0.838225,MNDA_cluster9=0.137686,FLNB_cluster9=-0.0784314,BRCA1_cluster9=-0.0452951,ZNF165_cluster9=-0.221572,ZNF296_cluster9=-0.178373,PCP2_cluster9=0.22069,RGS14_cluster9=0.273984,FBP1_cluster9=-0.119365,ZNF688_cluster9=0.155083,ELF1_cluster9=0.0574707,PPP6R3_cluster9=0.101845,FAM109B_cluster9=0.134587,PIGO_cluster9=-0.13365,ENPP5_cluster9=-0.187003,BANF1_cluster9=0.0854684,LIMK2_cluster9=0.261872,HESX1_cluster9=0.0645674,ZNF599_cluster9=0.12203,ZFP91_cluster9=0.340787,EEF1A1_cluster9=-0.0565325,ZNF334_cluster9=0.394098,SUV39H1_cluster9=0.350974,ERCC6_cluster9=0.256057,CHEK1_cluster9=0.0661481,SMAD5_cluster9=0.133008
Var=ACAP3_cluster9	Wt=-1	CondVar=1.29693e-09	CondBias=1.28299e-08	CondWt=RFX3_cluster9=-1.17445e-08,RNGTT_cluster9=-1.70296e-08,TBX6_cluster9=-8.77398e-08,MED1_cluster9=-8.24707e-08,ERN1_cluster9=-1.60765e-08,ZBTB9_cluster9=1.43671,CCDC8_cluster9=-0.692785,HMGA2_cluster9=1.06937,ANKRD42_cluster9=0.789559,ZDHHC2_cluster9=-1.314e-08,PRDM4_cluster9=-2.10322e-07,FBXO15_cluster9=0.390552,ZNF302_cluster9=-1.11334e-08,ZNF446_cluster9=-0.848559,TBP_cluster9=-1.7122e-08,ZNF222_cluster9=-0.776543,PLK2_cluster9=0.778903,ZNF205_cluster9=0.765177,NFKB1_cluster9=1.07767e-08,TRPS1_cluster9=3.23014e-07,PAK4_cluster9=0.995925,DAXX_cluster9=-1.50875e-08,ICAM1_cluster9=1.00444e-08,CHAF1B_cluster9=-7.29022e-09,TRERF1_cluster9=-0.511515,FRS2_cluster9=0.765203,EEPD1_cluster9=-0.936066,ZNF343_cluster9=-0.621307,ERCC8_cluster9=0.67416,ACP6_cluster9=2.71215e-07,FKBP15_cluster9=-1.75373e-07,HIST1H2BN_cluster9=-0.859574,ERCC6_cluster9=-0.598838,ZNF341_cluster9=-0.58062
Var=PUSL1_cluster9	Wt=-1	CondVar=0.0205495	CondBias=0.0116105	CondWt=PER3_cluster9=0.13128,ZNF627_cluster9=0.275705,ZNF117_cluster9=-0.956387,USF1_cluster9=-0.603965,GABPA_cluster9=-0.0993129,SMAD5_cluster9=-0.174936,NLK_cluster9=0.661092,TULP4_cluster9=-0.496229,ERCC8_cluster9=0.574292,ENPP5_cluster9=0.4903,SCMH1_cluster9=0.776303,ZBTB6_cluster9=0.579456,ZNF500_cluster9=0.840738,NCOA2_cluster9=-0.204795,PPP1R3E_cluster9=0.223504,E2F2_cluster9=0.639432,ANKRD52_cluster9=-0.189188,SGK1_cluster9=0.219026,FBXO15_cluster9=0.50012,PLD6_cluster9=0.174237,RORA_cluster9=0.584813,CSRNP2_cluster9=-0.376336,PBX2_cluster9=-0.09942,RAD54B_cluster9=-0.69914,MELK_cluster9=0.221779,PDPR_cluster9=0.348512,ID3_cluster9=-1.23818,E2F5_cluster9=-0.67068,ESRRA_cluster9=0.781931,CBX7_cluster9=-0.00452095
Var=CPSF3L_cluster9	Wt=-1	CondVar=0.148972	CondBias=-0.0253639	CondWt=ZNF467_cluster9=-0.639577,DHX38_cluster9=0.237456,ANKRD42_cluster9=0.678271,MAP2K7_cluster9=0.30694,KLF2_cluster9=0.256138,TXK_cluster9=0.600125,MBD2_cluster9=0.240517,ZBTB16_cluster9=0.197391,ARID3B_cluster9=0.325297,ZNF564_cluster9=0.323034,ZNF334_cluster9=0.651074,PAX8_cluster9=0.177183,ZNF513_cluster9=0.618501,RFX1_cluster9=0.303028,ZNF90_cluster9=0.536874,HESX1_cluster9=-0.149439
Var=GLTPD1_cluster9	Wt=-1	CondVar=3.83531e-10	CondBias=9.93373e-11	CondWt=TAF4_cluster9=0.747996,ZNF563_cluster9=0.670874,HIVEP2_cluster9=-0.644054,ZNF383_cluster9=-0.739309,STRN3_cluster9=0.92971
Var=DVL1_cluster9	Wt=-1	CondVar=3.92816e-10	CondBias=8.98785e-11	CondWt=ZNF584_cluster9=-0.442893,CLOCK_cluster9=1.12024,PDP2_cluster9=-0.594098,USF1_cluster9=1.06069
Var=AURKAIP1_cluster9	Wt=-1	CondVar=0.298667	CondBias=0.64648	CondWt=STK16_cluster9=0.264248,SP3_cluster9=0.143893,MAML3_cluster9=0.3718,NR2C2_cluster9=0.180258,ZNF354A_cluster9=-0.400101,SP1_cluster9=0.0729129,ATP6AP2_cluster9=0.300461
Var=CCNL2_cluster9	Wt=-1	CondVar=1.25522e-09	CondBias=1.73574e-08	CondWt=NLK_cluster9=-0.875178,PIR_cluster9=-6.46329e-07,ZFP41_cluster9=-0.507754,ZNF16_cluster9=0.732339,ZBTB5_cluster9=0.588471,NOTCH4_cluster9=0.104322,ICAM1_cluster9=-3.80902e-07,TRPS1_cluster9=-0.241316,ID3_cluster9=-1.13943,TNS1_cluster9=0.114801,TPRG1L_cluster9=0.662182,ARNTL_cluster9=-0.529773,E4F1_cluster9=0.85018,ELK4_cluster9=0.746363,ZNF154_cluster9=0.609998,ZNF205_cluster9=-1.51019e-08,TESK2_cluster9=0.630006,LZTR1_cluster9=-0.775272,ZNF440_cluster9=0.125913,BRSK1_cluster9=-0.025873,TRERF1_cluster9=0.196381,KLF11_cluster9=-0.37903,TEC_cluster9=0.0458506,ULK4_cluster9=-0.813918,PRDM16_cluster9=0.41133,AAK1_cluster9=0.979037,ZNF136_cluster9=-0.412233,ZNF215_cluster9=-0.0241396,ZNF689_cluster9=0.823766,TESK1_cluster9=0.407102,PRDM8_cluster9=0.574598,ZNF334_cluster9=0.52439,ZNF81_cluster9=-0.401747,ZNF354C_cluster9=0.511134,CREBL2_cluster9=0.399798,ANKS3_cluster9=-7.08845e-07,ZNF397_cluster9=0.815464,FXR2_cluster9=0.190936,ZNF275_cluster9=3.47678e-07,ACP6_cluster9=1.66371e-08
Var=RP4-758J18.2_cluster9	Wt=-1	CondVar=3.70405e-10	CondBias=-2.22711e-09	CondWt=NLK_cluster9=0.916072,RGS14_cluster9=0.74554,CDK18_cluster9=0.64123,AKAP11_cluster9=-0.231758,ZNF559_cluster9=0.255179,PIAS3_cluster9=-0.570546,ZBTB6_cluster9=0.504355,ZNF585B_cluster9=-0.445806
Var=ANKRD65_cluster9	Wt=-1	CondVar=9.49e-10	CondBias=-3.67065e-09	CondWt=SCML1_cluster9=-0.331634,ZNF584_cluster9=-0.367686,MYNN_cluster9=1.33545,ICK_cluster9=1.10104,TTK_cluster9=-1.08429,HIVEP2_cluster9=1.17234,HOXA6_cluster9=-1.36323,PDP2_cluster9=-0.493214,RB1_cluster9=6.42255e-09,ZNF343_cluster9=0.771543
