regulator	cluster	ntarget
FAM109A	E7	0
FAM109A	E9	16
FAM109A	E30	0
FAM109A	E2	0
FAM109A	E4	0
FAM109A	E3	0
FAM109A	E18	0
FAM109A	E6	0
FAM109A	E19	0
FAM109A	E29	0
FAM109A	E23	0
FAM109A	E20	0
FANK1	E28	0
FANK1	E15	0
FANK1	E13	0
FANK1	E1	0
FANK1	E26	0
FANK1	E25	0
FANK1	E12	0
FANK1	E22	1
FANK1	E24	0
FANK1	E17	22
FANK1	E8	0
FANK1	E16	0
FANK1	E27	0
FANK1	E21	0
FANK1	E11	0
FANK1	E10	0
FANK1	E5	0
FANK1	E14	0
FANK1	E7	0
FANK1	E9	0
FANK1	E30	0
FANK1	E2	0
FANK1	E4	0
FANK1	E3	0
FANK1	E18	0
FANK1	E6	0
FANK1	E19	0
FANK1	E29	0
FANK1	E23	0
FANK1	E20	0
HES4	E28	0
HES4	E15	0
HES4	E13	0
HES4	E1	0
HES4	E26	0
HES4	E25	0
HES4	E12	0
HES4	E22	0
HES4	E24	0
HES4	E17	0
HES4	E8	0
HES4	E16	0
HES4	E27	0
HES4	E21	0
HES4	E11	0
HES4	E10	0
HES4	E5	0
HES4	E14	0
HES4	E7	0
HES4	E9	0
HES4	E30	0
HES4	E2	0
HES4	E4	0
HES4	E3	28
HES4	E18	0
HES4	E6	0
HES4	E19	0
HES4	E29	0
HES4	E23	0
HES4	E20	1
NFIL3	E28	0
NFIL3	E15	0
NFIL3	E13	0
NFIL3	E1	0
NFIL3	E26	0
NFIL3	E25	0
NFIL3	E12	0
NFIL3	E22	0
NFIL3	E24	0
NFIL3	E17	0
NFIL3	E8	0
NFIL3	E16	0
NFIL3	E27	0
NFIL3	E21	0
NFIL3	E11	11
NFIL3	E10	0
NFIL3	E5	0
NFIL3	E14	0
NFIL3	E7	0
NFIL3	E9	0
NFIL3	E30	0
NFIL3	E2	0
NFIL3	E4	0
NFIL3	E3	0
NFIL3	E18	0
NFIL3	E6	0
NFIL3	E19	0
NFIL3	E29	1
NFIL3	E23	0
NFIL3	E20	0
PAX8	E28	0
PAX8	E15	0
PAX8	E13	0
PAX8	E1	0
PAX8	E26	0
PAX8	E25	0
PAX8	E12	0
PAX8	E22	1
PAX8	E24	0
PAX8	E17	0
PAX8	E8	0
PAX8	E16	0
PAX8	E27	0
PAX8	E21	0
PAX8	E11	0
PAX8	E10	0
PAX8	E5	0
PAX8	E14	0
PAX8	E7	0
PAX8	E9	0
PAX8	E30	0
PAX8	E2	29
PAX8	E4	0
PAX8	E3	0
PAX8	E18	0
PAX8	E6	0
PAX8	E19	0
PAX8	E29	0
PAX8	E23	0
PAX8	E20	0
PRG2	E28	0
PRG2	E15	0
PRG2	E13	0
PRG2	E1	0
PRG2	E26	0
PRG2	E25	0
PRG2	E12	0
PRG2	E22	0
PRG2	E24	0
PRG2	E17	0
PRG2	E8	0
PRG2	E16	0
PRG2	E27	2
PRG2	E21	0
PRG2	E11	0
PRG2	E10	0
PRG2	E5	0
PRG2	E14	0
PRG2	E7	0
PRG2	E9	0
PRG2	E30	0
PRG2	E2	0
PRG2	E4	0
PRG2	E3	32
PRG2	E18	0
PRG2	E6	0
PRG2	E19	0
PRG2	E29	0
PRG2	E23	0
PRG2	E20	0
SRC	E28	0
SRC	E15	0
SRC	E13	0
SRC	E1	0
SRC	E26	1
SRC	E25	0
SRC	E12	0
SRC	E22	0
SRC	E24	0
SRC	E17	24
SRC	E8	0
SRC	E16	0
SRC	E27	0
SRC	E21	0
SRC	E11	0
SRC	E10	0
SRC	E5	0
SRC	E14	0
SRC	E7	0
SRC	E9	0
SRC	E30	0
SRC	E2	0
SRC	E4	0
SRC	E3	0
SRC	E18	0
SRC	E6	0
SRC	E19	0
SRC	E29	0
SRC	E23	0
SRC	E20	0
TBX6	E28	0
TBX6	E15	0
TBX6	E13	0
TBX6	E1	0
TBX6	E26	0
TBX6	E25	0
TBX6	E12	0
TBX6	E22	0
TBX6	E24	0
TBX6	E17	0
TBX6	E8	0
TBX6	E16	0
TBX6	E27	0
TBX6	E21	0
TBX6	E11	0
TBX6	E10	0
TBX6	E5	0
TBX6	E14	0
TBX6	E7	31
TBX6	E9	0
TBX6	E30	0
TBX6	E2	22
TBX6	E4	0
TBX6	E3	0
TBX6	E18	0
TBX6	E6	0
TBX6	E19	0
TBX6	E29	0
TBX6	E23	0
TBX6	E20	0
ZNF416	E28	0
ZNF416	E15	0
ZNF416	E13	0
ZNF416	E1	0
ZNF416	E26	0
ZNF416	E25	1
ZNF416	E12	0
ZNF416	E22	0
ZNF416	E24	0
ZNF416	E17	0
ZNF416	E8	0
ZNF416	E16	0
ZNF416	E27	0
ZNF416	E21	0
ZNF416	E11	0
ZNF416	E10	0
ZNF416	E5	0
ZNF416	E14	0
ZNF416	E7	33
ZNF416	E9	0
ZNF416	E30	0
ZNF416	E2	0
ZNF416	E4	0
ZNF416	E3	0
ZNF416	E18	0
ZNF416	E6	0
ZNF416	E19	0
ZNF416	E29	0
ZNF416	E23	0
ZNF416	E20	0
ZNF641	E28	0
ZNF641	E15	0
ZNF641	E13	0
ZNF641	E1	0
ZNF641	E26	0
ZNF641	E25	0
ZNF641	E12	0
ZNF641	E22	0
ZNF641	E24	0
ZNF641	E17	0
ZNF641	E8	0
ZNF641	E16	0
ZNF641	E27	0
ZNF641	E21	0
ZNF641	E11	0
ZNF641	E10	0
ZNF641	E5	0
ZNF641	E14	0
ZNF641	E7	0
ZNF641	E9	0
ZNF641	E30	0
ZNF641	E2	25
ZNF641	E4	0
ZNF641	E3	0
ZNF641	E18	0
ZNF641	E6	1
ZNF641	E19	0
ZNF641	E29	0
ZNF641	E23	0
ZNF641	E20	0
ANKRD6	E28	0
ANKRD6	E15	0
ANKRD6	E13	0
ANKRD6	E1	0
ANKRD6	E26	0
ANKRD6	E25	0
ANKRD6	E12	0
ANKRD6	E22	0
ANKRD6	E24	0
ANKRD6	E17	0
ANKRD6	E8	0
ANKRD6	E16	0
ANKRD6	E27	0
ANKRD6	E21	0
ANKRD6	E11	0
ANKRD6	E10	0
ANKRD6	E5	13
ANKRD6	E14	0
ANKRD6	E7	0
ANKRD6	E9	0
ANKRD6	E30	0
ANKRD6	E2	0
ANKRD6	E4	0
ANKRD6	E3	0
ANKRD6	E18	0
ANKRD6	E6	0
ANKRD6	E19	0
ANKRD6	E29	0
ANKRD6	E23	0
ANKRD6	E20	0
CDK20	E28	0
CDK20	E15	0
CDK20	E13	0
CDK20	E1	0
CDK20	E26	0
CDK20	E25	0
CDK20	E12	0
CDK20	E22	0
CDK20	E24	0
CDK20	E17	0
CDK20	E8	0
CDK20	E16	0
CDK20	E27	0
CDK20	E21	0
CDK20	E11	0
CDK20	E10	0
CDK20	E5	0
CDK20	E14	0
CDK20	E7	28
CDK20	E9	0
CDK20	E30	0
CDK20	E2	0
CDK20	E4	0
CDK20	E3	0
CDK20	E18	0
CDK20	E6	0
CDK20	E19	0
CDK20	E29	0
CDK20	E23	0
CDK20	E20	0
CTH	E28	0
CTH	E15	0
CTH	E13	0
CTH	E1	0
CTH	E26	0
CTH	E25	0
CTH	E12	0
CTH	E22	0
CTH	E24	0
CTH	E17	0
CTH	E8	0
CTH	E16	0
CTH	E27	0
CTH	E21	0
CTH	E11	0
CTH	E10	0
CTH	E5	0
CTH	E14	0
CTH	E7	0
CTH	E9	0
CTH	E30	0
CTH	E2	0
CTH	E4	21
CTH	E3	0
CTH	E18	0
CTH	E6	0
CTH	E19	0
CTH	E29	0
CTH	E23	0
CTH	E20	0
DNAJC6	E28	0
DNAJC6	E15	0
DNAJC6	E13	0
DNAJC6	E1	0
DNAJC6	E26	0
DNAJC6	E25	0
DNAJC6	E12	0
DNAJC6	E22	0
DNAJC6	E24	0
DNAJC6	E17	0
DNAJC6	E8	0
DNAJC6	E16	0
DNAJC6	E27	0
DNAJC6	E21	0
DNAJC6	E11	0
DNAJC6	E10	0
DNAJC6	E5	0
DNAJC6	E14	0
DNAJC6	E7	0
DNAJC6	E9	0
DNAJC6	E30	0
DNAJC6	E2	0
DNAJC6	E4	32
DNAJC6	E3	0
DNAJC6	E18	0
DNAJC6	E6	0
DNAJC6	E19	0
DNAJC6	E29	0
DNAJC6	E23	0
DNAJC6	E20	0
DPF1	E28	0
DPF1	E15	0
DPF1	E13	0
DPF1	E1	0
DPF1	E26	0
DPF1	E25	0
DPF1	E12	0
DPF1	E22	0
DPF1	E24	0
DPF1	E17	0
DPF1	E8	0
DPF1	E16	0
DPF1	E27	0
DPF1	E21	0
DPF1	E11	0
DPF1	E10	0
DPF1	E5	24
DPF1	E14	0
DPF1	E7	0
DPF1	E9	0
DPF1	E30	0
DPF1	E2	0
DPF1	E4	0
DPF1	E3	0
DPF1	E18	0
DPF1	E6	0
DPF1	E19	0
DPF1	E29	0
DPF1	E23	0
DPF1	E20	0
DYRK2	E28	0
DYRK2	E15	0
DYRK2	E13	0
DYRK2	E1	0
DYRK2	E26	0
DYRK2	E25	0
DYRK2	E12	0
DYRK2	E22	0
DYRK2	E24	0
DYRK2	E17	0
DYRK2	E8	0
DYRK2	E16	0
DYRK2	E27	0
DYRK2	E21	0
DYRK2	E11	0
DYRK2	E10	0
DYRK2	E5	15
DYRK2	E14	0
DYRK2	E7	0
DYRK2	E9	0
DYRK2	E30	0
DYRK2	E2	0
DYRK2	E4	0
DYRK2	E3	0
DYRK2	E18	0
DYRK2	E6	0
DYRK2	E19	0
DYRK2	E29	0
DYRK2	E23	0
DYRK2	E20	0
ERCC6	E28	0
ERCC6	E15	0
ERCC6	E13	0
ERCC6	E1	24
ERCC6	E26	0
ERCC6	E25	0
ERCC6	E12	0
ERCC6	E22	0
ERCC6	E24	0
ERCC6	E17	0
ERCC6	E8	0
ERCC6	E16	0
ERCC6	E27	0
ERCC6	E21	0
ERCC6	E11	0
ERCC6	E10	0
ERCC6	E5	0
ERCC6	E14	0
ERCC6	E7	0
ERCC6	E9	0
ERCC6	E30	0
ERCC6	E2	0
ERCC6	E4	0
ERCC6	E3	0
ERCC6	E18	0
ERCC6	E6	0
ERCC6	E19	0
ERCC6	E29	0
ERCC6	E23	0
ERCC6	E20	0
FBXO15	E28	0
FBXO15	E15	0
FBXO15	E13	0
FBXO15	E1	0
FBXO15	E26	0
FBXO15	E25	0
FBXO15	E12	0
FBXO15	E22	0
FBXO15	E24	0
FBXO15	E17	0
FBXO15	E8	0
FBXO15	E16	0
FBXO15	E27	0
