Var=ACAP3_cluster9	Wt=-1	CondVar=1.3465e-09	CondBias=-1.20139e-09	CondWt=ANKRD42_cluster9=0.789559,ZBTB40_cluster9=-0.812943,MTA3_cluster9=-1.30493,TGFBR2_cluster9=6.94173e-09,ZNF671_cluster9=0.833396,ULK2_cluster9=0.847406,NFKB1_cluster9=3.02608e-09,ICAM1_cluster9=0.808166,ZNF83_cluster9=-2.18366e-09,AHR_cluster9=0.996774,FRS2_cluster9=0.765203,ZNF675_cluster9=1.60792e-08,ZHX3_cluster9=0.65325,PYGO2_cluster9=-0.942902,ZNF446_cluster9=-0.848559,LAT_cluster9=-1.17333,KLF11_cluster9=0.936508,FANK1_cluster9=0.701372,ACP6_cluster9=8.68262e-09,E4F1_cluster9=-1.02539
Var=PUSL1_cluster9	Wt=-1	CondVar=1.08924e-09	CondBias=1.35309e-08	CondWt=ZNF557_cluster9=0.61208,PPP1R37_cluster9=-0.711346,PPP1R3E_cluster9=6.54801e-08,CDKL3_cluster9=2.02126e-07,ZNF417_cluster9=-0.601757,ELF4_cluster9=-3.00008e-07,DUSP12_cluster9=2.15167e-08,PRG2_cluster9=-0.671061,PURA_cluster9=2.09839e-07,PRDM16_cluster9=-0.178822,PPM1L_cluster9=-1.10135e-08,RNF141_cluster9=-1.10014e-07,TRPS1_cluster9=-0.761727,E2F5_cluster9=-1.45618e-07,ID3_cluster9=-5.63903e-07,IMPA2_cluster9=-4.02044e-08,PDP2_cluster9=-0.37441,ZNF671_cluster9=0.71415,ZNF420_cluster9=0.893103,PRDM8_cluster9=-4.74355e-07,ZBTB34_cluster9=0.580157,RFX5_cluster9=8.91155e-09,CRTC1_cluster9=0.737187,ZNF232_cluster9=0.500578,ZFP36L1_cluster9=-1.36988,WRN_cluster9=6.45855e-07,CSRNP2_cluster9=0.541723,BTAF1_cluster9=-7.44506e-08,ZNF611_cluster9=3.03662e-08,POGK_cluster9=-4.60449e-06,ZNF570_cluster9=0.571715,PPP2R3A_cluster9=0.59996,AHR_cluster9=0.854155,TAF4B_cluster9=-4.13398e-08,DEDD_cluster9=3.50783e-08,E2F2_cluster9=3.07048e-07,TRIM25_cluster9=-5.28619e-08,ZBTB6_cluster9=0.523552,PDPR_cluster9=-4.15659e-07,HIST1H2BC_cluster9=0.894396,EIF2AK3_cluster9=0.589874
Var=CPSF3L_cluster9	Wt=-1	CondVar=0.278264	CondBias=0.289372	CondWt=MED1_cluster9=0.347777,ZNF12_cluster9=0.681429,SNAPC2_cluster9=0.362419,RFX1_cluster9=0.245261,MYC_cluster9=-0.118695,CEBPZ_cluster9=-0.198593,RFX3_cluster9=0.449976,PHACTR4_cluster9=0.210086
Var=GLTPD1_cluster9	Wt=-1	CondVar=6.92768e-11	CondBias=-1.73062e-11	CondWt=HOXA4_cluster9=0.676485,ZNF563_cluster9=0.362651,ZNF501_cluster9=0.334332
Var=DVL1_cluster9	Wt=-1	CondVar=3.31017e-10	CondBias=4.24205e-11	CondWt=ENPP2_cluster9=0.994897,FBXL19_cluster9=-1.14906
Var=AURKAIP1_cluster9	Wt=-1	CondVar=0.333663	CondBias=0.530354	CondWt=RUNX1_cluster9=0.156223,SP1_cluster9=-0.0808551,HIPK2_cluster9=-0.478072,HMGB2_cluster9=0.0564093
Var=CCNL2_cluster9	Wt=-1	CondVar=0.20107	CondBias=0.0561204	CondWt=ANKRD42_cluster9=0.600849,KLF5_cluster9=0.273428,NCOR2_cluster9=0.354904,MECP2_cluster9=0.150707,ACP2_cluster9=0.841852,RBM15_cluster9=0.458434,FGFR1_cluster9=0.229877,E2F2_cluster9=0.243338,E4F1_cluster9=0.882064,ELK1_cluster9=-0.189407
Var=RP4-758J18.2_cluster9	Wt=-1	CondVar=5.01697e-10	CondBias=-5.72824e-10	CondWt=PRDM16_cluster9=-0.497539,ZNF180_cluster9=-0.407782,FOXJ2_cluster9=0.986492,RGS14_cluster9=1.05435,ZFP64_cluster9=0.690433,ZNF398_cluster9=7.97334e-09,ZNF234_cluster9=-0.272332,ZBTB6_cluster9=0.504355,SFMBT1_cluster9=0.533053,ZNF585B_cluster9=-0.630462
Var=ANKRD65_cluster9	Wt=-1	CondVar=1.05601e-09	CondBias=-2.28519e-09	CondWt=ZNF343_cluster9=-0.0590264,BPGM_cluster9=9.28358e-09,NFIB_cluster9=-0.423748,KHDRBS2_cluster9=0.597311,PYGO2_cluster9=-0.827952,CLOCK_cluster9=-0.657614,RYBP_cluster9=0.116742,PPP1R37_cluster9=1.03085,MYNN_cluster9=1.11401e-08,MTA3_cluster9=1.20783,PRDM16_cluster9=-0.0676893,ICK_cluster9=-0.0842346,DACH1_cluster9=8.93913e-09,PRKACA_cluster9=-0.860655,GABPB2_cluster9=-0.0800912,ING3_cluster9=-1.57082e-08,MTMR10_cluster9=-0.0720837,CRTC1_cluster9=-0.197311,DUSP15_cluster9=-0.081023,PIGG_cluster9=1.2778,ZBTB34_cluster9=-0.840734,PTPDC1_cluster9=-0.781367,INPP4B_cluster9=-5.08688e-08,PLAGL2_cluster9=0.0811141,RB1_cluster9=1.20254e-08,TNIK_cluster9=0.872338,ZNF599_cluster9=4.84426e-08,HIST1H2BC_cluster9=0.916488
Var=VWA1_cluster9	Wt=-1	CondVar=0	CondBias=0	CondWt=
