Var=CPSF3L_cluster7	Wt=-1	CondVar=0.305842	CondBias=-0.0120349	CondWt=SMEK2_cluster7=0.117711,ECD_cluster7=0.134197,E2F2_cluster7=0.0706228,POLR3A_cluster7=0.126828,TFDP1_cluster7=0.0918271,HNRNPK_cluster7=0.145856,INTS12_cluster7=0.119141
Var=GLTPD1_cluster7	Wt=-1	CondVar=0.192283	CondBias=0.0566852	CondWt=ERN1_cluster7=0.142901,FOXK2_cluster7=0.090687,IKBKB_cluster7=0.105754,NKX2-3_cluster7=0.247069,ICAM1_cluster7=0.760067,FOSL1_cluster7=0.226773
Var=DVL1_cluster7	Wt=-1	CondVar=0.0213684	CondBias=-0.0414895	CondWt=ZNF155_cluster7=0.0820147,NEIL2_cluster7=0.0370278,PRKCB_cluster7=0.0375577,TBX6_cluster7=0.0656739,TRIO_cluster7=0.0562716,CBFA2T2_cluster7=0.0593472,ZBTB3_cluster7=0.109978,KHDRBS2_cluster7=0.0715545,ZSWIM4_cluster7=0.0772625,IRAK1_cluster7=0.0370773,TNS3_cluster7=0.0555928,STK35_cluster7=0.0438634,ZNF382_cluster7=0.104665,ANGEL1_cluster7=0.0496191,ZNF41_cluster7=0.142127,ZDHHC9_cluster7=0.0329989,ZFP30_cluster7=0.0659189
Var=AURKAIP1_cluster7	Wt=-1	CondVar=0.318629	CondBias=0.314411	CondWt=SP4_cluster7=-0.0334718,HMGB2_cluster7=0.0309485,POLR2L_cluster7=0.11664,SP1_cluster7=0.0608031,BZW1_cluster7=0.104351
Var=CCNL2_cluster7	Wt=-1	CondVar=0.223215	CondBias=0.044774	CondWt=ZNF431_cluster7=0.137212,RNGTT_cluster7=0.101807,CDK8_cluster7=0.0974364,ELK1_cluster7=0.106116,REXO4_cluster7=0.0949712,TOB1_cluster7=0.198226,ZBTB7B_cluster7=0.125223,GTF2B_cluster7=0.0757705
Var=RP4-758J18.2_cluster7	Wt=-1	CondVar=0.326118	CondBias=0.145754	CondWt=ERCC2_cluster7=0.133829,RORA_cluster7=0.457472,NDN_cluster7=0.11001,SS18L1_cluster7=0.139172,NR1D2_cluster7=0.157804
Var=ANKRD65_cluster7	Wt=-1	CondVar=0.00683725	CondBias=-0.0315421	CondWt=RMDN3_cluster7=0.0176683,CDK7_cluster7=0.0172154,HSPG2_cluster7=0.0231723,ESRRA_cluster7=0.0266685,NFKB2_cluster7=0.0465343,SOCS3_cluster7=0.0637255,ZNF646_cluster7=0.0420097,MAML1_cluster7=0.0169772,PIAS2_cluster7=0.020555,NLK_cluster7=0.02294,ENPP5_cluster7=0.0435248,PRKACA_cluster7=0.0408771,L3MBTL4_cluster7=0.0419474,MZF1_cluster7=0.0206912,PTPDC1_cluster7=0.0398871,ZNF510_cluster7=0.0654911,KLF8_cluster7=0.0613845,ASB1_cluster7=0.021608,TCEB2_cluster7=-0.122312,MEF2A_cluster7=0.0225621,STK36_cluster7=0.0423841,SIRPA_cluster7=0.0443378,TMEM55A_cluster7=0.0143668,IGF1R_cluster7=0.0348573,ATF3_cluster7=0.0591753,DUSP6_cluster7=0.0338013
Var=VWA1_cluster7	Wt=-1	CondVar=0.00978134	CondBias=-0.0281665	CondWt=ZFP64_cluster7=0.0373914,SOCS3_cluster7=0.135745,PTPDC1_cluster7=0.0442756,SFMBT1_cluster7=0.0346789,TAF4_cluster7=0.0353332,L3MBTL4_cluster7=0.0432623,PARD3_cluster7=0.139415,PRKACA_cluster7=0.0324097,ATF3_cluster7=0.0571795,KLF8_cluster7=0.0708716,FGFR1_cluster7=-0.0734295,MZF1_cluster7=0.0231901,RUNX2_cluster7=0.0581432,STK36_cluster7=0.0394967,ENPP5_cluster7=0.0521669,CREB5_cluster7=0.294769,OSBP_cluster7=0.0256337,PBXIP1_cluster7=0.0334315
Var=ATAD3C_cluster7	Wt=-1	CondVar=0.100962	CondBias=-0.0409388	CondWt=MTF1_cluster7=0.0638175,MBD2_cluster7=0.104366,ERG_cluster7=0.0564886,DAPP1_cluster7=-0.069691,NLK_cluster7=0.0707864,MAST3_cluster7=0.138912,GMEB2_cluster7=0.119869,PIK3R2_cluster7=0.089078,HOXB6_cluster7=0.0826961,ZNF335_cluster7=0.0944619,ZNF613_cluster7=0.188158,FRS2_cluster7=0.202052,FAM109A_cluster7=0.179082,FGR_cluster7=0.39918,BRPF3_cluster7=0.14301
Var=ATAD3B_cluster7	Wt=-1	CondVar=0.230613	CondBias=0.242345	CondWt=PBX2_cluster7=-0.0883995,PTRF_cluster7=-0.091588,ELK4_cluster7=-0.0836722,FKBP10_cluster7=0.150986,TAOK3_cluster7=-0.124722,EPHB6_cluster7=0.211414,ZNF441_cluster7=0.12213,ZNF473_cluster7=0.146272,PBX1_cluster7=-0.024271,ETV2_cluster7=0.134128
