Var=DVL1_cluster10	Wt=-1	CondVar=2.58381e-10	CondBias=-4.7895e-11	CondWt=BTRC_cluster10=-0.516653,PPP2R3A_cluster10=-0.438424,USF1_cluster10=1.06069,PPP2R5D_cluster10=9.52806e-09,HOXA3_cluster10=-5.32148e-09
Var=AURKAIP1_cluster10	Wt=-1	CondVar=0.329907	CondBias=0.14331	CondWt=SREBF2_cluster10=0.121736,RFX5_cluster10=0.253897,CFL1_cluster10=0.408305,SP1_cluster10=0.131182,ZNF75A_cluster10=-0.221081
Var=CCNL2_cluster10	Wt=-1	CondVar=0.0010665	CondBias=0.000422584	CondWt=ERCC8_cluster10=-0.22964,SP4_cluster10=0.195123,IKZF2_cluster10=0.14856,ARFGEF2_cluster10=0.0395575,PARD3_cluster10=0.243793,ZNF565_cluster10=0.349105,ZNF285_cluster10=-0.0915045,ZSCAN2_cluster10=-0.0480535,ZNF10_cluster10=-0.278169,ZNF404_cluster10=-0.455966,TRERF1_cluster10=0.570322,ZNF77_cluster10=-0.254141,ADCK5_cluster10=0.717143,FYN_cluster10=-0.529586,ZBTB37_cluster10=0.59347,PDE4D_cluster10=-0.813402,USF1_cluster10=-0.139221,PDK1_cluster10=0.497184,SPRED1_cluster10=-0.856542,PPP2R5D_cluster10=0.718662,ZNF615_cluster10=0.393724,NFATC1_cluster10=-0.0146751,PPP6R1_cluster10=0.874102,HOXA3_cluster10=-0.43043,PURA_cluster10=0.371807,ADCK1_cluster10=-0.363845,CBX4_cluster10=0.5926
Var=RP4-758J18.2_cluster10	Wt=-1	CondVar=0.107234	CondBias=-0.0256923	CondWt=BUB1B_cluster10=0.23376,NCOA3_cluster10=0.765716,PWP1_cluster10=0.163383,ZNF565_cluster10=0.532899,ZNF266_cluster10=0.673663,ZNF300_cluster10=-0.580442,SRF_cluster10=0.319579,XRCC4_cluster10=0.416533,NCOA2_cluster10=0.84429,EAF1_cluster10=0.623903,TMEM55A_cluster10=1.05461,DPF1_cluster10=0.631131,PAWR_cluster10=-0.484196
Var=ANKRD65_cluster10	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=VWA1_cluster10	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=ATAD3C_cluster10	Wt=-1	CondVar=3.25014e-10	CondBias=7.72289e-11	CondWt=CDKL1_cluster10=1.01872,TESK1_cluster10=1.10107
Var=ATAD3B_cluster10	Wt=-1	CondVar=6.18831e-10	CondBias=-3.07101e-10	CondWt=ZNF215_cluster10=-0.088461,ZNF611_cluster10=-0.122643,PTPRE_cluster10=-1.53683e-10,ULK2_cluster10=0.125713,SMAD7_cluster10=0.458835,ZBTB39_cluster10=0.787571,ZNF34_cluster10=0.127028,NR4A1_cluster10=3.46244e-09,SBF1_cluster10=0.121788,ZFP57_cluster10=0.608071,EPHX2_cluster10=-0.644542,ZNF77_cluster10=0.111317,SMG5_cluster10=-0.14545,IRF2BP1_cluster10=0.865262,ARNTL2_cluster10=-0.301035,CLK2_cluster10=0.12587,PHLPP2_cluster10=-0.621109,TYRO3_cluster10=0.53579,KLF11_cluster10=6.47286e-09,TESK1_cluster10=0.739504,ZNF222_cluster10=-0.963412,ZFPM1_cluster10=0.525768
Var=ATAD3A_cluster10	Wt=-1	CondVar=0.261403	CondBias=-0.460351	CondWt=TCF4_cluster10=0.109365,SP3_cluster10=0.247162,NFYA_cluster10=-0.0981157,YBX1_cluster10=0.428786
Var=SSU72_cluster10	Wt=-1	CondVar=0.293971	CondBias=0.368696	CondWt=RUVBL1_cluster10=0.245364,JUND_cluster10=0.293422
